,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 06:51:25,#เริ่มต้นใหม่ในสามสิบวัน,Saturn_SrK,💚⚡⭐👶🌞💙...เมนหลักOGเหนือเมนพิเต้😳ซื้อหนังสือมากองๆหาเวลาอ่านยังไม่มี😂ชอบฮิโซกะกอร์นคิรัวiuGOT7หวังเจียเอ๋อหวังอี้ป๋อTENไฮคิวเส็ตโชมารูและอื่นๆ,186,ที่วางแก้วจาก #เริ่มต้นใหม่ในสามสิบวัน ฮะ วิธีการวางคือวางยังไงก็ได้ให้เห็นหน้าน้องโชคนเดียว ส่วนน้ำที่เจิ่งนองไม่ได้มาจากแก้วกาแฟนะคะ แต่มาจากน้ำตาพี่แบร์เอง🤔 https://t.co/u7PDoc40JY, /เริ่มต้นใหม่ในสามสิบวัน,60,62,zearet17,"full-time ux/ui and front-end developer, part-time dreamer. 
📚#zearet17novels 
💌zearet17book@gmail.com"
1,9,2021-03-10 05:47:27,#เริ่มต้นใหม่ในสามสิบวัน,muayuek,,17,@CHAT53434113 เพิ่งอ่านนิยายจบไปน่าจะเรื่อง #เริ่มต้นใหม่ในสามสิบวัน ว่าด้วยการเป็นแม่บ้านญี่ปุ่น 🇯🇵 ที่เวลาส่วนหนึ่งคือการดูแลลูก ใส่ใจและการให้ความสำคัญกับบุตรหลาน ประเทศเราด้อยพัฒนา ชีวิตดีๆ แบบนี้มีแค่ลูกคนรวย ส่วนลูกคนจนๆต้องช่วยตัวเองเพราะพ่อแม่ทำงานหาเงิน ผลักภาระไปให้ครูอีกที 🥲, /เริ่มต้นใหม่ในสามสิบวัน,50,50,cherryinrum CHAT53434113,"full-time ux/ui and front-end developer, part-time dreamer. 
📚#zearet17novels 
💌zearet17book@gmail.com"
2,20,2021-03-10 04:42:39,#เริ่มต้นใหม่ในสามสิบวัน,MarkKatin93,"🌟&🐦
'ทุกคนครับเพลงFLYของเราได้ที่1ด้วยนะครับ'
Always be side U
#บ้านสามก้อน 📌 @kratin_rimrua #ชุดชัคกี้ IG:Kratin_rimrua #รีวิวkatin93
*All Mark*มัคปม💕막뽐💘",379,"#เริ่มต้นใหม่ในสามสิบวัน 
#หวีดวายบายมี https://t.co/LgeMZwIJXT https://t.co/1XvbJh21He", /เริ่มต้นใหม่ในสามสิบวัน/หวีดวายบายมี,2,2,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠
3,23,2021-03-10 04:32:09,#เริ่มต้นใหม่ในสามสิบวัน,Phraathityimcka,:/,164,"TOP 4 นิยายประทับใจ ที่อ่านจบในช่วง ม.ค.-ก.พ. 2021

#สลเดย์
Coming of age มิตรภาพ ความรัก ความฝัน
#ติณณ์เต็มใจ 
สะท้อนสังคม อบอุ่น เยียวยาใจ
#หนึ่งคันร่มกางไม่ทั่วท้องฟ้า 
พีเรียดจีนน้ำดี ปมแน่น ภาษาสวย
#เริ่มต้นใหม่ในสามสิบวัน 
ปัญหาคู่รักเข้าปีที่11 จะจบหรือไปต่อ
#แนะนำนิยายวาย https://t.co/zY3SRx4d6t", /สลเดย์/ติณณ์เต็มใจ,76,101,primmy_clover,“ ทุกๆคนที่เราได้พบเจอ ต่างมีเรื่องที่ต้องต่อสู้โดยที่เราไม่รู้ จงอ่อนโยนอยู่เสมอ ” | “แค่ได้เป็นหนึ่งคนที่ได้ push เค้า ไปในความฝันนั้นๆ พีก็โอเคแล้วครับ”
4,42,2021-03-10 03:05:58,#เริ่มต้นใหม่ในสามสิบวัน,qx_khaotez,"Always SHINee☆ 5HINee 
#โบ๊ะบะแฟมิลี่",483,"#เริ่มต้นใหม่ในสามสิบวัน #รีวิวนิยายวาย 
๏จากรัก-ไม่รัก-??
๏สนุกที่มันหน่วงนิแหละ พอ.ขึ้นอย่างหงส์ลงอย่างหมา เห็นน้องเป็นของตายแบบน่าสงสาร(*´Д｀*) น้องเลยตัดใจ เสียของไปเพิ่งมาเห็นค.สำคัญ ทีนี้บินตามตูด ใช่จ้ะ”บินไปตาม” อ่านแล้วแบบหมั่นไส้ สะใจมากก ดียยยย์
https://t.co/lEYM3AUBRx", /เริ่มต้นใหม่ในสามสิบวัน/รีวิวนิยายวาย,41,48,YaoiNovel,ตามนิยายที่ทวิตไป @yaoinovel_2 | นิยายวายจบในFav.นี้✨ | ทวิตเเต่นิยายที่อ่าน | #Thaiboyslove #รีวิวนิยายวาย #แนะนํานิยายวาย
5,65,2021-03-10 02:04:53,#เริ่มต้นใหม่ในสามสิบวัน,pbanqrum,"✨🌻

#got7forever",7,@cielisme_ แนะนำเรื่องนี้คับเธอ #เริ่มต้นใหม่ในสามสิบวัน มี 30 ตอน เราร้องไห้ไปแล้ว25ตอน 😭 https://t.co/JNAXjqEeGx, /เริ่มต้นใหม่ในสามสิบวัน,0,0,cielisme_,ไม่เป็นมิตรแถมยังเป็นมลพิษอีกต่างหาก! แฮร่!
6,71,2021-03-09 16:43:29,#เริ่มต้นใหม่ในสามสิบวัน,Nuengthidaaa,"👉Call me Anna👈 | อยากเลี้ยงแมว แต่ตอนนี้เลี้ยงหนูอยู่ 🥺 | ฝันร้ายมา 3 ปีแล้ว☔  |เป็นสาวY,Y I P'Tawan💙🌻☀ P'Xiaozhan 🐇🐰P'Eak HRK 🎮
👉ไม่คุยกับสลิ่ม👈",107,เรื่องนี้คือสุด เตรียมทิชชู่ด้วย เปียกปอน แต่อ่านแล้วหยุดไม่ได้ คือเหมือนเราได้ใช้ชีวิตไปกับโชและพี่แบร์ เหมือนเป็นเพื่อนที่ฟังเพื่อนปรับทุกข์เรื่องความรักชีวิตคู่ มันดีจริงๆทุกคน ได้แง่คิดหลายอย่าง แนะนำให้ไปอ่านกัน จบแล้ว นี่รอเก็บเล่ม! #แนะนํานิยายวาย #เริ่มต้นใหม่ในสามสิบวัน https://t.co/1CyTzzfkrQ, ,67,73,looookmai,สายรีวิว / ผิวขาวเหลือง ผิวผสม-ผิวมัน / พูดคุย สอบถาม ติดต่องานทาง 𝒹𝓂 / ไม่อนุญาตให้แคปภาพหรือนำรูปไปใช้ / ขอบคุณที่ติดตามกันค่ะ
7,72,2021-03-09 16:00:58,#เริ่มต้นใหม่ในสามสิบวัน,beeaaammmmxjk,always be my 5 : 5 9 🕕 | 🎨#bybeeaaammmmxjk | ig @bybeeaaammmm | pls do not repost or edit |,686,ปกติวันอังคาร จะต้องมารออิพี่แบร์กับน้องโช คิดถึงจุงงงงง #เริ่มต้นใหม่ในสามสิบวัน, /เริ่มต้นใหม่ในสามสิบวัน,3,1,keroro_minny,
8,75,2021-03-09 14:39:27,#เริ่มต้นใหม่ในสามสิบวัน,pigletreiview,รีวิวนิยาย,1,"#เริ่มต้นใหม่ในสามสิบวัน แบร์×โช
ทั้งคู่คบกันตั้งแต่มหาลัยเรียนจบแต่งงาน พอคบกันไปนานๆ ทุกอย่างกลายเป็นความเคยชิน พอ.ทำงานไอที นอ.ทำงานอยู่บ้าน สังคมไม่มี คนนึงเบื่อ อีกคนเฝ้ารอ นานวันเข้า นอ.ทนไม่ไหวขอเลิก นอ.บอกเลิกเสร็จหนีไปญี่ปุ่นเลยจ้า (1)", /เริ่มต้นใหม่ในสามสิบวัน,0,0,pigletreiview,รีวิวนิยาย
9,76,2021-03-09 14:02:03,#เริ่มต้นใหม่ในสามสิบวัน,razxyou,มัมหมีสาคูกับถั่วงอกยูจิไม่เปลี่ยนใจค๊า,4,#เริ่มต้นใหม่ในสามสิบวัน เรื่องของคู่รักที่แต่งงานและอยู่กินกันมา 10 ปีพร้อมกับความรักที่เริ่มจืดจางโดยที่พระเอกไม่รู้ตัว คิดมาเสมอว่าชีวิตคู่ของตัวเองมีความสุขดี ครอบครัวทั้งสองฝ่ายไม่กีดกันแถมยอมรับ การงานก็ไปได้สวย สร้างอนาคตไปพร้อมๆ กันแต่สำหรับนายเอกคือไม่(1) #แนะนํานิยายวาย https://t.co/qJJtEmKjXy, /เริ่มต้นใหม่ในสามสิบวัน,294,348,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
