,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-24 08:34:16,#เวฬาหยุดรัก,ninaa_tt,,2,#แทนคุณ #ลูกกาเหว่าบ้า #หลังม่าน #อย่าเล่นกับอนล #นิทานพันดาว #องศาสูญ #ปลาฉลามขึ้นบก #เพราะจีบจึงรัก #วิศวกรรณโยธา #ทินกรทอแสง #ทำนายทายทัพ #เวฬาหยุดรัก #บันทึกจากแดนเหนือ #เจ้ามะลิ #ของหายอยากได้คืน #หักเหลี่ยมรักซาตาน #คนกากของผม #คุณเชนเอาแต่ใจ #นับหนึ่งถึงเสาร์, /แทนคุณ/ลูกกาเหว่าบ้า/หลังม่าน/อย่าเล่นกับอนล/นิทานพันดาว/องศาสูญ/ปลาฉลามขึ้นบก/เพราะจีบจึงรัก/วิศวกรรณโยธา/ทินกรทอแสง/ทำนายทายทัพ/เวฬาหยุดรัก/บันทึกจากแดนเหนือ/เจ้ามะลิ/ของหายอยากได้คืน/หักเหลี่ยมรักซาตาน/คนกากของผม/คุณเชนเอาแต่ใจ/นับหนึ่งถึงเสาร์,0,0,ninaa_tt,
1,1,2021-02-21 10:34:55,#เวฬาหยุดรัก,choppermanz007,ตามติดนิยายจีน  ซีรีย์จีน 🦁🐰 เกาหลี  ญี่ปุ่น,5,"#นิยายวาย 
แนวดราม่า
-สมิงพาฬ
-เสียงแว่วจากทางรถไฟ 
-52hz เศษส่วนความเหงา
-ผมกับคุณผู้ไม่ชอบแมว
-ปิดตาข้างเดียว
-#บทกลอนให้พรแด่คุณ 
-#จนมีหัวใจ 
-#จาร์เจียร์ไม่แยก 
-#สลิลจอนแจ 
-เด็ก""แรด""ของเฮีย
-#จูปีเตอร์nm 
-#ใต้ร่มวันฝนซา 
-#เวฬาหยุดรัก 
-#sinsgreed 
-รักไม่ลืม
-#fickruz", /นิยายวาย,24,26,Pppp05358820,"🐳 
🦊
👑🌙🌴🍑🐰🐍🐜
( 🐣💚 )"
2,2,2021-02-18 15:23:04,#เวฬาหยุดรัก,yumyumyumpeach,2️⃣9️⃣▶️🔂/ปีใหม่แล้วเลิกประสาทแดก/ 𝐒𝐩𝐨𝐭𝐢𝐟𝐲 𝐋𝐨𝐯𝐞𝐫,127,(Mpreg) Endless Time #คืนรักธิมา ตอนที่ 15  #readAwrite #Melenalike #Melena_Hollyk  #คืนรักธิมา #Boy love / Yaoi / ชายรักชาย ##yaoi #ชายชาย #ชxช #นิยายวาย #นิยายชายชาย #BL #Mpreg #เวฬาหยุดรัก https://t.co/91tz9cxU2T, /คืนรักธิมา/readAwrite/Melenalike/Melena_Hollyk/คืนรักธิมา/Boy/yaoi/ชายชาย/ชxช/นิยายวาย/นิยายชายชาย/BL/Mpreg/เวฬาหยุดรัก,0,1,yumyumyumpeach,2️⃣9️⃣▶️🔂/ปีใหม่แล้วเลิกประสาทแดก/ 𝐒𝐩𝐨𝐭𝐢𝐟𝐲 𝐋𝐨𝐯𝐞𝐫
3,3,2021-02-18 15:00:56,#เวฬาหยุดรัก,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน,4305,(Mpreg) Endless Time #คืนรักธิมา ตอนที่ 14  #readAwrite #Melenalike #Melena_Hollyk  #คืนรักธิมา #Boy love / Yaoi / ชายรักชาย ##yaoi #ชายชาย #ชxช #นิยายวาย #นิยายชายชาย #BL #Mpreg #เวฬาหยุดรัก https://t.co/2R1j2OWDSE, /คืนรักธิมา/readAwrite/Melenalike/Melena_Hollyk/คืนรักธิมา/Boy,1,1,yumyumyumpeach,2️⃣9️⃣▶️🔂/ปีใหม่แล้วเลิกประสาทแดก/ 𝐒𝐩𝐨𝐭𝐢𝐟𝐲 𝐋𝐨𝐯𝐞𝐫
4,0,2021-02-05 03:01:14,#เวฬาหยุดรัก,meennie_meenny,"● fb : Manlika Meen'zii 
● ig : meennie_meenny
● id : mini.meen",10,"#วายล้วนล้วนรีวิว 
#แนะนํานิยายวาย 

102) #พวยสักทีเถอะ เฟรนโซน
103) #เวฬาหยุดรัก Mpreg 
104) #คุณนิรันดร์ แฟนตาซี พีเรียดไทย 
105) #พระชายา Mpreg จีนโบราณ 
106) #ชากาแฟป๋อจ้าน #ฟิคป๋อจ้าน omega
107) #แม่น้ำลั่วสามพันลี้ จีน 
108) #ดิมไลท์ Mpreg ติดเหรียญโรแมนติกดราม่า", /วายล้วนล้วนรีวิว/แนะนํานิยายวาย/พวยสักทีเถอะ/เวฬาหยุดรัก/คุณนิรันดร์,14,10,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
5,1,2021-02-04 17:53:01,#เวฬาหยุดรัก,Metdj2,ไม่ต้องฟอลก็ได้น้า/ สั่งซื้อและโอนแล้วหลัง 10 โมงส่งวันถัดไปยกเว้นส-อ./ ถ่ายรูปสินค้าที่ส่งและเลขแทรคใน DM ค่า,16,เป็นเรื่องที่อ่านแล้วไม่คิดว่าจะกลับมารักกันได้เลย แต่มันเป็นไปได้ หน่วงมากก คสพ.ยุ่งเหยิง อ่านแล้วน้ำตาไหลและปวดใจกับสิ่งที่แต่ละคนเจอด้วยทั้งเวฬาและวัจจีเลย😭 #เวฬาหยุดรัก https://t.co/6a1fp5Yu4v, /เวฬาหยุดรัก,0,0,Metdj2,ไม่ต้องฟอลก็ได้น้า/ สั่งซื้อและโอนแล้วหลัง 10 โมงส่งวันถัดไปยกเว้นส-อ./ ถ่ายรูปสินค้าที่ส่งและเลขแทรคใน DM ค่า
6,2,2021-02-03 18:52:08,#เวฬาหยุดรัก,Metdj2,ไม่ต้องฟอลก็ได้น้า/ สั่งซื้อและโอนแล้วหลัง 10 โมงส่งวันถัดไปยกเว้นส-อ./ ถ่ายรูปสินค้าที่ส่งและเลขแทรคใน DM ค่า,16,"#เวฬาหยุดรัก (จบแล้ว) 

แนวแฟนเก่าค่ะ  นายเอกท้องได้ด้วย และดราม่า  บีบคั้นหัวใจเหลือเกิน แต่สนุกมากกก หยุดอ่านไม่ได้เลยจริงๆ แนะนำตัวโตๆ เลยค่ะ 

🔗https://t.co/WCCqNa1pd9

#รีวิวนิยายวาย #แนะนำนิยายวาย #นิยายวายแนะนำ #นิยายวายจบแล้ว #นิยายวาย

รอเล่มนะคะ ❤ https://t.co/ye7gpi2kRk", /เวฬาหยุดรัก,33,66,readismylife___,
7,4,2021-02-01 19:00:41,#เวฬาหยุดรัก,HunseI,"♡🐹#유기현🦈♡ #몬스타엑스 ➳20161202~ing🙆‍♀️💕 💙Be w/YOO n MX n #원호 Always💜 ⏳171114🏆♡̆̈ 몬엑들에게 매일 매일 행복하는 게 살아가요.♡̆̈ ★Music,アニメ, 漫画,ドラマ♩📚#นิยายวายDrama #นิยายวายFG ★",227,"รีวิวผลงาน 2020 คือเขียนจบเยอะมากเป็นประวัติการณ์ งงเหมือนกันว่าทำไมเขียนจบทั้งที่บ่นว่าไม่มีเวลาเรย😂😂

#เวฬาหยุดรัก 
#สาปดาว
#ที่ไม่รัก
#ดิมไลท์ 

และแพลนปีนี้
#คืนรักธิมา ดราม่าโรแมนติก
#คุณขอแค่รัก โอเมก้าเวิร์สการเมือง
#ไป๋ไม่ได้รัก
#วิวาห์อามันต์ 
#หวาฬรัก
จบแน่นวล 😂", /เวฬาหยุดรัก,31,47,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
8,5,2021-02-01 15:11:47,#เวฬาหยุดรัก,kimMeSmile,❓❓❓,1,"#นิยายวาย 
แนวดราม่า
-สมิงพาฬ
-เสียงแว่วจากทางรถไฟ 
-52hz เศษส่วนความเหงา
-ผมกับคุณผู้ไม่ชอบแมว
-ปิดตาข้างเดียว
-#บทกลอนให้พรแด่คุณ 
-#จนมีหัวใจ 
-#จาร์เจียร์ไม่แยก 
-#สลิลจอนแจ 
-เด็ก""แรด""ของเฮีย
-#จูปีเตอร์nm 
-#ใต้ร่มวันฝนซา 
-#เวฬาหยุดรัก 
-#sinsgreed 
-รักไม่ลืม
-#fickruz", /นิยายวาย,22,24,Pppp05358820,ไม่ว่าจะแยกย้ายคนละค่าย คนละประเทศ เราสนับสนุนทุกคนในฐานะแฟนคลับ got7 เสมอน่ะ💚
9,10,2021-01-31 11:10:51,#เวฬาหยุดรัก,kcpskji,♡ #AlwaysStandwithKAI ♡ #평생종인이편 (ˊσ̴̶̷̤ ₋̮̑ σ̴̶̷̤ˋ)  ❤︎ 𝐋𝐮𝐜𝐤𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐲𝐨𝐮 ❤︎ 🐻🧸🌱💛🛴😎🥺🍒🐬| ALL♡#KAI #babyniji88 &siblingsㅂ=ㅂ,3685,"วาเลนไทน์ใครรู้สึกชีวิตเลี่ยนๆ 
#แนะนำนิยายวาย เรื่องนี้เลยค่ะ #เวฬาหยุดรัก 
แนวแฟนเก่า กลับมาเจอกันอีกครั้ง นายเอกกลายเป็นพี่สะใภ้พระเอกไปแล้ว แถมมีลูกอีกคน 
สนุกมากๆๆๆ นี่ไม่ได้พูดเกินจริง จบดีสุด อ่านจบบรรลุธรรม 😂😂😂 คนเขียนบอกจะมีรวมเล่มด้วย
#นิยายวาย #นิยายวายแนะนํา https://t.co/W2ZclYSdWh", /แนะนำนิยายวาย/เวฬาหยุดรัก,80,59,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
