,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-11 06:26:37,#เอื้อเฟื้อพายุ,Fictionlog,"อ่านง่าย ขายดี ที่ Fictionlog
โหลดแอปเพื่ออ่านนิยายแล้ววันนี้! 
iOS : https://t.co/OUNguOQaAi 
Android : https://t.co/uIEuURDUMX
#fictionlog #นิยายออนไลน์",9731,"""ตลอดไป"" และแล้วก็เดินทางมาถึงบทส่งท้ายของเรื่องนี้ ขอบคุณทุกคนที่เอ็นดู #เอื้อเฟื้อพายุ นะคะ  แล้วเจอกันในรูปแบบหนังสือและอีบุ๊กน้า #ร้าก 💓💓

#Fictionlog #ReadAwrite  #นิยายเด็กดี

FTL : https://t.co/y1GEmLYUYd
RAW : https://t.co/zW7Y2bNu04
DD : https://t.co/7SmkzmPVAr", /เอื้อเฟื้อพายุ,7,11,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ #โอบอุ้มตะวัน ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
1,6,2021-03-09 05:23:56,#เอื้อเฟื้อพายุ,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ #โอบอุ้มตะวัน ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog,254,"#ก่อนจะเจอกันตอนหน้า เราขอพูดอะไรหน่อยน้า ในตอนหน้านิยายเรื่ิองนี้ก็จบแล้วนะคะ #ขอบคุณทุกกำลังใจ ทุกคอมเมนต์ รวมทั้งยอดโดเนท เราดีใจที่ทุกคนชอบ ดีใจที่เห็นรีวิว และขอบคุณทุกคนที่แนะนำนิยายของเราให้คนอื่นได้อ่าน #ขอบคุณค่ะ&lt;ต่อ&gt;

#เอื้อเฟื้อพายุ #นิยายเด็กดี #ReadAwrite #fictionlog https://t.co/EEuD9TwXnI", /ก่อนจะเจอกันตอนหน้า/ขอบคุณทุกกำลังใจ,3,10,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ #โอบอุ้มตะวัน ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
2,7,2021-03-08 10:50:53,#เอื้อเฟื้อพายุ,Chi_fongfoam,อยากทำอะไรก็จะทำ,7,"#สุดท้ายดีใจที่นิยายของเรามันดีต่อใจคนอ่านหลาย ๆ คน เราเห็นฟีคแบ็กในทุก ๆ ตอนแล้วมันดีต่อใจคนเขียนแบบเราจริง ๆ ทำไมพวกคุณถึงน่ารักแบบนี้ #ร้ากกก 💓💓💓🙏🙏🙏 

#เอื้อเฟื้อพายุ", /สุดท้ายดีใจที่นิยายของเรามันดีต่อใจคนอ่านหลาย,1,3,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ #โอบอุ้มตะวัน ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
3,12,2021-03-05 05:46:27,#เอื้อเฟื้อพายุ,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ #โอบอุ้มตะวัน ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog,254,"""สัญญา"" ตอนล่าสุดอัพแล้วนะคะ ☺💕
#เอื้อเฟื้อพายุ 

#นิยายวาย #แนะนํานิยายวาย #นิยายวายแนะนํา

#Fictionlog #readAwrite #นิยายเด็กดี

FTL : https://t.co/TJAeaRilsj
RAW : https://t.co/RDbOWCtdxw
DD : https://t.co/glY16yz78x", /เอื้อเฟื้อพายุ/นิยายวาย/แนะนํานิยายวาย/นิยายวายแนะนํา/Fictionlog/readAwrite,6,8,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ #โอบอุ้มตะวัน ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
4,0,2021-02-01 11:55:38,#เอื้อเฟื้อพายุ,poxzxx,°อ่านนิยายวายไปเรื่อยเปื่อย° °รีรูป° ((((((เนม : ซอ)))))) °ทักมาคุยเล่นกันได้นะเค้าไม่กัดหรอกเน้อ°,30,"#แฟนอาร์ตของน้องธามกับน้องแจ็ค เป็นแฟนอาร์ตที่เราตั้งใจให้คุณนิ่ม @Nxng_Nim วาดให้โดยเฉพาะเลย #วาดเพื่อขอบคุณทุกคนที่เอ็นดูคู่นี้รวมทั้งขอบคุณสำหรับฟีคแบ็กและกำลังใจที่มีให้กันมาจนถึงเรื่องที่สอง อีกไม่กี่ตอนก็จะจบแล้ว ฝากให้ทุกคนเอาใจช่วยด้วยน้า  #ร้ากก ❤❤❤
#เอื้อเฟื้อพายุ https://t.co/k19HwXnhAc", /แฟนอาร์ตของน้องธามกับน้องแจ็ค,5,12,adalukcy Nxng_Nim,@BTS_twt | ชอบอ่านนิยาย 📖
5,6,2021-02-01 03:31:13,#เอื้อเฟื้อพายุ,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog,226,"เราเล่น TikTok แล้วนะทุกคน #อยากให้ลงอะไรแนะนำได้เลยค่ะ &gt;&lt;

#เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ https://t.co/emesoevTM9", /อยากให้ลงอะไรแนะนำได้เลยค่ะ/เสือหนาวตัวเล็ก/เอื้อเฟื้อพายุ/พสุธาวายุ,0,6,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
6,7,2021-01-31 03:50:12,#เอื้อเฟื้อพายุ,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog,226,"กรี๊ดด ~ เป็นนิยายแนะนำใน tiktok อีกแล้ววว #ป้ายยาเป็นList รวมฮิต รักในรั้วมหาลัย ขอบคุณทาง #fictionlog ด้วยนะคะที่เอ็นดูพี่พายุกับน้องเอื้อเฟื้อแบบนี้  ☺☺ ขอบคุณค่ะ 

#เอื้อเฟื้อพายุ #นิยายวาย 
#แนะนำนิยายวาย #นิยายวายแนะนำ https://t.co/Y7vCRrJ89B", /ป้ายยาเป็นList/fictionlog,10,10,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
7,8,2021-01-31 02:18:42,#เอื้อเฟื้อพายุ,AumAtj,"ชอบหวีดโมเมนต์คู่
#เต้ตี๋ชู้รักเรือล่ม💙💛
#ตอเต๋ เต้+ตี๋
#TEeThanapon💛 และ #เจ้าแก้มก้อน💙 คือเมน😘
#TaeDarvid💙 และ #โอห์มไง💙 คือแฟนเมน😍",193,โอกาสที่มีคนหยิบยื่นให้เรา เรามองว่ามันคือโอกาสที่ดีทั้งหมด เพราะอย่างน้อยเขาก็สนใจในงานของเรา #แต่บางครั้งยิ่งมีคนสนใจ เราก็ยิ่งรู้สึกว่าอยากจะทำให้มันดีกว่านี้ให้สมกับที่เขาสนใจ แต่รอก่อนนะคะ ตอนนี้ขอแต่งให้จบก่อน วันไหนที่โอเคและดีแล้วเราจะรีบส่งให้ที่แรกเลยค่ะ #เอื้อเฟื้อพายุ, /แต่บางครั้งยิ่งมีคนสนใจ,1,7,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
8,10,2021-01-31 01:16:17,#เอื้อเฟื้อพายุ,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog,226,"""คงถึงเวลาแล้วสินะ"" ตอนล่าสุดอัพแล้วนะคะ 💕💕 #เอื้อเฟื้อพายุ

#นิยายวาย #นิยายวายแนะนํา
#แนะนำนิยายวาย

#นิยายเด็กดี #readAwrite #Fictionlog

DD : https://t.co/CqCrsDzxLL
RAW : https://t.co/9gbJzOqS6z
FTL : https://t.co/jgl6sb8wJj", /เอื้อเฟื้อพายุ/นิยายวาย/นิยายวายแนะนํา/แนะนำนิยายวาย/นิยายเด็กดี,5,9,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
9,11,2021-01-31 01:16:15,#เอื้อเฟื้อพายุ,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog,226,"ทุกคน ~ ตอนล่าสุดเราลงตั้งแต่พฤหัสแล้วน้า😹😹😹 ขออนุญาตปาหลักฐาน 

#เอื้อเฟื้อพายุ 😁😁😁 https://t.co/aSvvKwJkzD", /เอื้อเฟื้อพายุ,0,4,adalukcy,มือใหม่หัดแต่งนิยาย #เสือหนาวตัวเล็ก #เอื้อเฟื้อพายุ #พสุธาวายุ ลงที่ #ReadAwrite #นิยายเด็กดี #fictionlog
