,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-12 14:58:03,#แด๊ดดี้บิ๊กไซส์,BenPP13,อยู่หลายด้อมมากค่ะ💕,141,"แด๊ดดี้บิ๊กไซส์ (เล่มหลัก+เล่มสเป)

** มือ1ในซีล/ของรอบพรีครบ **

ขาย 580฿ (รวมส่งลทบ.)

สนใจสอบถาม/ดูสภาพเพิ่มเติม DMมาได้เลยน้า♥️

#แด๊ดดี้บิ๊กไซส์ #นิยายวายมือสองสภาพดี #นิยายวายแนะนํา #นิยายวายมือสอง #ขายนิยายวายมือสอง #ส่งต่อนิยายวาย #แนะนํานิยายวาย #ขายนิยายวายมือสองสภาพดี https://t.co/eugccNpxew", ,2,2,Morphine2468,"ขายนิยายวาย/การ์ตูนวาย​ ♥️
ทุกออเดอร์​ ใส่กล่อง + ห่อบับเบิ้ลหนาอย่างดี หนังสือปลอดภัยทุกเล่มแน่นอนค่า ♥️
IG : Mormor_Book ♥️
ดูรีวิว 👉 #MormorBook​"
1,1,2021-03-12 14:03:43,#แด๊ดดี้บิ๊กไซส์,Aun_writer,🐳 รักในการเขียน porn แต่เป็น porn ที่น่ารัก 🐳 l สนใจหนังสือทัก DM,1400,งื้อออ ได้ของแล้วน่ารักมากเลย ได้มาแล้วคือรีบอ่านเลย คือตอนพิเศษดีม๊ากกกกกก ชอบมากๆเลยค่ะ อ่านไปเขินไป ฟินมากเบยย #แด๊ดดี้บิ๊กไซส์ https://t.co/WQmoadvBYN, ,1,0,IyMimy,
2,2,2021-03-12 14:03:22,#แด๊ดดี้บิ๊กไซส์,Aun_writer,🐳 รักในการเขียน porn แต่เป็น porn ที่น่ารัก 🐳 l สนใจหนังสือทัก DM,1400,ได้มาแน้วน่ารักมากๆ ชอบปกแจ๊คเก็ตคุมะจี้💜 #แด๊ดดี้บิ๊กไซส์ #ตู้เก็บวาย https://t.co/oemMk8higV, /แด๊ดดี้บิ๊กไซส์/ตู้เก็บวาย,1,0,PlearnPa,🌈รีวิวร้าน #รีวิวพาเพลิน #พาเพลินรับหิ้ว🌈 💞รีวิวนิยายที่ชอบ #อ่านเพลินเพลิน 💜สาววายสายช็อป ซื้อมาดองไม่ได้ซื้อมาอ่าน สายสะสมลงอวย IG: tookeb_y #ตู้เก็บวาย
3,3,2021-03-12 14:02:00,#แด๊ดดี้บิ๊กไซส์,Morphine2468,"ขายนิยายวาย/การ์ตูนวาย​ ♥️
ทุกออเดอร์​ ใส่กล่อง + ห่อบับเบิ้ลหนาอย่างดี หนังสือปลอดภัยทุกเล่มแน่นอนค่า ♥️
IG : Mormor_Book ♥️
ดูรีวิว 👉 #MormorBook​",293,"แด๊ดดี้บิ๊กไซส์ (เล่มหลัก+เล่มสเป)

** มือ1ในซีล/ของรอบพรีครบ **

ขาย 580฿ (รวมส่งลทบ.)

สนใจสอบถาม/ดูสภาพเพิ่มเติม DMมาได้เลยน้า ♥️

#แด๊ดดี้บิ๊กไซส์ #นิยายวายมือสองสภาพดี #นิยายวายแนะนํา #นิยายวายมือสอง #ขายนิยายวายมือสอง #ส่งต่อนิยายวาย #แนะนํานิยายวาย #ขายนิยายวายมือสองสภาพดี https://t.co/cWjPhrZ2Ox", /แด๊ดดี้บิ๊กไซส์/นิยายวายมือสองสภาพดี/นิยายวายแนะนํา/นิยายวายมือสอง/ขายนิยายวายมือสอง/ส่งต่อนิยายวาย/แนะนํานิยายวาย/ขายนิยายวายมือสองสภาพดี,1,1,Morphine2468,"ขายนิยายวาย/การ์ตูนวาย​ ♥️
ทุกออเดอร์​ ใส่กล่อง + ห่อบับเบิ้ลหนาอย่างดี หนังสือปลอดภัยทุกเล่มแน่นอนค่า ♥️
IG : Mormor_Book ♥️
ดูรีวิว 👉 #MormorBook​"
4,8,2021-03-10 00:13:29,#แด๊ดดี้บิ๊กไซส์,bebehyunn,Baekhyun สารพัดของกุ๊กกิ๊กเเละหมาเด่ก🐶💖 85,244,"ได้เล่มแล้ว น่ารักมากกกกก 😆😆
#แด๊ดดี้บิ๊กไซส์ https://t.co/jZMNPkToVf", /แด๊ดดี้บิ๊กไซส์,2,0,patcharin253938,❤28/06/14 - 25/06/16 - 08/07/17 - 23/06/18❤เป็น #BABY ของ #BAP ชิป #BANGDAE เป็นสาวY ชอบอ่าน #นิยาย ดู #การ์ตูน และเป็น #ทาสแมว 🚫ทวิตเรื่องส่วนตัว🚫
5,9,2021-03-09 23:56:52,#แด๊ดดี้บิ๊กไซส์,Natnicha_Nisa,,11,รับกลับมาบ้านเป็นที่เรียบร้อย #แด๊ดดี้บิ๊กไซส์ https://t.co/kspMKuQgXL, /แด๊ดดี้บิ๊กไซส์,2,4,ammicka_love,ความบันเทิง ดนตรี
6,10,2021-03-09 22:59:30,#แด๊ดดี้บิ๊กไซส์,Aun_writer,🐳 รักในการเขียน porn แต่เป็น porn ที่น่ารัก 🐳 l สนใจหนังสือทัก DM,1400,งื้อออ นุ้งบิ๊กกับคุณแด๊ดดี้มาแน้วจ้าา ของแถมเยอะจนถ่ายสตอรี่แทบไม่พอ อิอิ เยิฟๆเจ้าหนูสุดแซ่บ #แด๊ดดี้บิ๊กไซส์ เดี๋ยวพากลับไปอยู่ข้างเจ้านะกับเจ้าพอส 🥰🥰🥰😘 https://t.co/LnDiajRaP5, /แด๊ดดี้บิ๊กไซส์,1,3,keroro_minny,
7,11,2021-03-09 22:59:20,#แด๊ดดี้บิ๊กไซส์,Aun_writer,🐳 รักในการเขียน porn แต่เป็น porn ที่น่ารัก 🐳 l สนใจหนังสือทัก DM,1400,"เย้ๆๆๆๆ จะค่อยๆอ่านทีละหน้า❤️
#แด๊ดดี้บิ๊กไซส์ https://t.co/LTctiBaoLB", /แด๊ดดี้บิ๊กไซส์,1,0,SoBeautiful_TY,แทยง และ อาณาจักร NCT💚 ผพทยทพจร
8,12,2021-03-09 22:59:13,#แด๊ดดี้บิ๊กไซส์,Aun_writer,🐳 รักในการเขียน porn แต่เป็น porn ที่น่ารัก 🐳 l สนใจหนังสือทัก DM,1400,แวะมาอวดน้องสเปค้าบบบ #แด๊ดดี้บิ๊กไซส์ https://t.co/jf6S3R0WzX, /แด๊ดดี้บิ๊กไซส์,1,0,MMDXLVI__,
9,15,2021-03-09 22:58:26,#แด๊ดดี้บิ๊กไซส์,Aun_writer,🐳 รักในการเขียน porn แต่เป็น porn ที่น่ารัก 🐳 l สนใจหนังสือทัก DM,1400,ถึงแย้วววว น่ารักมากงับ #แด๊ดดี้บิ๊กไซส์ https://t.co/y9q5MFZBJp, /แด๊ดดี้บิ๊กไซส์,1,0,_bblanch,#dylanwang #แบตเตอรี่ของอเลิ้ต #เลบอกไม่หวาน #หวานใจมิวกลัฟ
