,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-11 05:06:20,#แอบรัก,awitchjourney,Baddest witch in town ☻,77,"✨PICK  A CARD✨ 

Choose the one you’re most drawn to. Answers will also be in reply. 

#ดวง #ดวงวันนี้ #ดวงความรัก #แอบรัก #tarot #TarotReading #astrology #tarotreader #witchesoftwitter #Horoscope #love https://t.co/U3DcngJZo2", /ดวง/ดวงวันนี้/ดวงความรัก/แอบรัก/tarot/TarotReading/astrology/tarotreader/witchesoftwitter/Horoscope/love,1,0,awitchjourney,Baddest witch in town ☻
1,1,2021-03-11 04:49:09,#แอบรัก,MapleMayer2,"| แอบชอบครู | คลั่งรักครู | Until You ❣
.
#แอบรักครู #แอบชอบคนในบอท #แอบชอบครู",51,"""เป็นการคาดหวังที่ ไม่มี%ที่จะสมหวัง""     #แอบรัก  #แอบชอบ   #แอบชอบครู  #ความรัก https://t.co/WPz6pfCF4P", /แอบรัก/แอบชอบ/แอบชอบครู/ความรัก,2,4,TMicksd,รักคุณนะ(น้ำตาล )
2,2,2021-03-11 03:20:53,#แอบรัก,Wayu_Thamrong,,3,"เมื่อเราอยากได้อะไร 
ก็อยากให้เป็น(ชิ้น)สิ่งที่ดีที่สุด
และเมื่อเรารู้สึกพิเศษกับใคร 
ก็จะมอบความรู้สึกที่ดีที่สุดให้กับเขาคนนั้น พร้อมกับคาดหวังว่าจะว่าเราจะเป็นคนพิเศษของเขาด้วยเช่นกัน
.
.
:แต่บางที่เราก็รู้สึกไปเอง โดยที่เขาไม่ได้รู้สึกอะไรกับเรา
#ความรู้สึก #คนพิเศษ #แอบรัก", /ความรู้สึก/คนพิเศษ/แอบรัก,0,0,Wayu_Thamrong,
3,4,2021-03-10 15:03:04,#แอบรัก,SurawutLunkhun1,"Taylor Swift ❤️
Speak Now❤️
Fearless ❤️
Red❤️
1989❤️
Reputation❤️
lover❤️
#Onlytheyoung ❤️
#MissAmericana❤️
-https://t.co/6i8WMkw8Xd",6,"ฝันดีตายเลยกูหลับไม่ตื่นฟื้นก็มีเด้อยังบ่อยากตาย555
#แอบรัก #รักไม่ได้ #ไอ้ต้าวความรัก https://t.co/SDo5W9yFGO", /แอบรัก/รักไม่ได้/ไอ้ต้าวความรัก,0,0,SurawutLunkhun1,"Taylor Swift ❤️
Speak Now❤️
Fearless ❤️
Red❤️
1989❤️
Reputation❤️
lover❤️
#Onlytheyoung ❤️
#MissAmericana❤️
-https://t.co/6i8WMkw8Xd"
4,5,2021-03-10 14:44:30,#แอบรัก,Wayu_Thamrong,,3,"มันอาจเป็นความรู้สึกของฉัน[คนเดียว]ที่
""เห็นเธอแล้วหวั่นไหว""
มันอาจเป็นความรู้สึกของฉัน[ในใจ]ที่
""มองเธอแล้วเขิน""
มันอาจเป็นความรู้สึกของฉัน[ไม่เปลี่ยน]ที่
"" นึกถึงเธอแล้วคงเดิม""
มันคงเป็นความรู้สึกที่ฉันต้องเผชิญ[คือเธอ]ที่
""แอบชอบอยู่ในความคิดถึงและห่วงใย""
#ความรู้สึก #แอบรัก", /ความรู้สึก/แอบรัก,0,1,Wayu_Thamrong,
5,6,2021-03-10 13:45:30,#แอบรัก,kmw_26,,0,"มันจะดีมากกว่านี้ ถ้าแกก็ชอบเราเหมือนกัน
#แอบชอบ #แอบรัก", /แอบชอบ/แอบรัก,3,1,DJOANHT1520,ทุกวันมีค่า.....
6,7,2021-03-10 12:51:53,#แอบรัก,Prapang9,-(🥛) 密かにあなたのように ꪔ̤̮ ✿. - #ขายไอจีคูมเเป้ง             เปิดร้าน 09.30 - 22.00,232,".                             เ ร า  คิ   ด
                          ที                    ถึ
                         า         \_           ง
                          น                     ก
                               ก    ทุ     แ

#ความรู้สึก #แอบรัก #แคปชั่นภาษาอังกฤษ", ,8,9,ztJE5pioAGQAuw6,
7,9,2021-03-10 12:20:12,#แอบรัก,TMicksd,รักคุณนะ(น้ำตาล ),0,"""ต่อให้ฉันจะรักเธอมากเท่าไหร่ แต่ก็รู้ว่าเธอคงจะไม่สนใจ  #แอบชอบ  #แอบรัก  #แอบชอบครู  #เศร้าใจ https://t.co/cnXHuvyzhc", /แอบชอบ/แอบรัก/แอบชอบครู/เศร้าใจ,0,1,TMicksd,รักคุณนะ(น้ำตาล )
8,10,2021-03-10 11:23:05,#แอบรัก,IceIZee1,Happy happy every day,73,รักออกแบบไม่ได้ แต่แอบบอกได้ ❤️#รัก #แอบรัก #คำคม  #มุขเสี่ยว, /รัก/แอบรัก/คำคม/มุขเสี่ยว,0,2,IceIZee1,Happy happy every day
9,11,2021-03-10 07:40:44,#แอบรัก,pavielin,ชื่อหลี #Pavielin AHS CU ESFJ-A Ambivert😌✨ // โพสไปเรื่อย อย่าหาสาระ // ห้ามเอารูปไปใช้โดยไม่ขออนุญาต // https://t.co/ebIV7i7T0V,12104,"ไม่เคยมีดวงกับความรักเสียเลย
รักใครทีไรเขาก็ทำเฉยเฉย
ไม่เคยสำคัญอะไร🎶
.
.
Youtube: https://t.co/VLhQ8xKYB6
#Cover by #Pavielin 
#BADLUCK #Lipta feat #TheToys 
#主播 #Tanglewood #TWRT #AcousticGuitar #Guitar #กีตาร์ #ร้องเพลง #BabyGuitar #ความรัก #แอบรัก #ดวงความรัก
12 Oct 2017 https://t.co/w1EomsBqky", /Cover,10,135,pavielin,ชื่อหลี #Pavielin AHS CU ESFJ-A Ambivert😌✨ // โพสไปเรื่อย อย่าหาสาระ // ห้ามเอารูปไปใช้โดยไม่ขออนุญาต // https://t.co/ebIV7i7T0V
10,12,2021-03-10 05:29:06,#แอบรัก,SkyGip1,^^,0,แค่ได้รักเธอก็ดีแค่ไหนน...😢 #แอบรัก  #แอบชอบ  #แอบชอบครู https://t.co/WvLsERnPJn, /แอบรัก/แอบชอบ/แอบชอบครู,1,1,TMicksd,รักคุณนะ(น้ำตาล )
