,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 12:56:44,#โรครัก,nctinmylerb,mark mean your heart ( ͡•. ͡•.),45,"คุณคมเจ้าขา 
พรีเมียมครบ 950 ส่งฟรี 
#Ltaluktarn #นิยายทำมือ #คุณคนน่ามอง #เฮียฟาร์ที่รัก  #คุณคมเจ้าขา #วอร์มตับ #โรครัก #มังกรสายฟ้า #พี่ชายร้อนรัก #เฮียฟาร์ทีรัก #นิยายมือสอง #ตามหานิยาย #Meawparadise #หนังสือนิยาย  #manell https://t.co/1msO1BcJ9D", /Ltaluktarn/นิยายทำมือ/คุณคนน่ามอง/เฮียฟาร์ที่รัก/คุณคมเจ้าขา/วอร์มตับ/โรครัก/มังกรสายฟ้า/พี่ชายร้อนรัก/เฮียฟาร์ทีรัก/นิยายมือสอง/ตามหานิยาย/Meawparadise/หนังสือนิยาย/manell,0,0,nctinmylerb,mark mean your heart ( ͡•. ͡•.)
1,1,2021-03-08 11:22:58,#โรครัก,WeloveNovel18,อัพเดทราคาและเล่มที่เหลือส่วนมากในไอจี ทัก dm ได้ (ใต้โพสต์อาจไม่แจ้งเตือน),6,"460 รส.
#นิยายทำมือ #นิยายมือสอง #หนังสือทำมือ #นิยายรัก #หนังสือมือสอง #Ltaluktarn #Meawparadise #psychoromance #โรครัก #คุณคนน่ามอง #พี่เสี่ยคนดี #พี่คิวคุณหนูดา #เฮียฟาร์ที่รัก #ว่านดูดกาแฟ #ยักษ์กินชา https://t.co/WoQ8uQUb94", /นิยายทำมือ/นิยายมือสอง/หนังสือทำมือ/นิยายรัก/หนังสือมือสอง/Ltaluktarn/Meawparadise/psychoromance/โรครัก/คุณคนน่ามอง/พี่เสี่ยคนดี/พี่คิวคุณหนูดา/เฮียฟาร์ที่รัก/ว่านดูดกาแฟ/ยักษ์กินชา,0,0,WeloveNovel18,อัพเดทราคาและเล่มที่เหลือส่วนมากในไอจี ทัก dm ได้ (ใต้โพสต์อาจไม่แจ้งเตือน)
2,2,2021-03-08 10:23:08,#โรครัก,GodYNT1101,ใช้ชีวิตทุกวันให้มีความสุขเถอะ,44,"1. Nobody (ยักษ์+ชา) 400
2. Secret Romance(เสือใหญ่+ลูกโซ่) 190
3. Pure black(เฮียลักษณ์+ตัง) 190
4. You belonged me(คราม+เพลิง) 200
ราคารวมส่งทุกเล่มนะคะ #ltaluktarn #นิยายทำมือ #หนังสือทำมือ #โรครัก #คุณคมเจ้าขา  #ยักษ์กินชา #คุณหนูของผม #โสมขิง #พี่ชายร้ายลึก  #พี่ชายร้อนรัก https://t.co/PdqzIbBOZ1", /ltaluktarn/นิยายทำมือ/หนังสือทำมือ/โรครัก/คุณคมเจ้าขา/ยักษ์กินชา/คุณหนูของผม/โสมขิง/พี่ชายร้ายลึก/พี่ชายร้อนรัก,0,0,GodYNT1101,ใช้ชีวิตทุกวันให้มีความสุขเถอะ
3,3,2021-03-07 13:25:37,#โรครัก,ppriewsann,ขายของเรื่อยๆนะค้า🥺✨,129,ตามหาค่า ขอสภาพดี ใครมีเม้นมาได้เลย ❤ #หนังสือมือสอง #หนังสือทำมือ #นิยายมือสอง #นิยายทำมือ #นิยายทำมือ18 #โสมขิง #พี่ชายร้ายลึก #คุณคมเจ้าขา #ว่านดูดกาแฟ #ยักษ์กินชา #คุณหนูของผม #โรครัก #นิยายมือสอง #วอร์มตับ #babylinlin #ltaluktarn #แซคอย่าผยอง #คุณคนน่ามอง #เฮียฟาร์ที่รัก https://t.co/EowMmSgccy, /หนังสือมือสอง/หนังสือทำมือ/นิยายมือสอง/นิยายทำมือ/นิยายทำมือ18/โสมขิง/พี่ชายร้ายลึก/คุณคมเจ้าขา/ว่านดูดกาแฟ/ยักษ์กินชา/คุณหนูของผม/โรครัก/นิยายมือสอง/วอร์มตับ/babylinlin/ltaluktarn/แซคอย่าผยอง/คุณคนน่ามอง/เฮียฟาร์ที่รัก,0,0,ppriewsann,ขายของเรื่อยๆนะค้า🥺✨
4,4,2021-03-06 11:27:21,#โรครัก,39shopbook,#รีวิว39shopbook #39shopbookอัพเดต #39shopbookรับพรี #39shopbookGiveaway #39shopbookพร้อมส่ง รับกด https://t.co/jWYFgqOk53 เรท 0.34,3049,"#โรครัก 650 บาทรวมส่ง
#นิยายทำมือ #หนังสือทำมือ https://t.co/aXdAWERCQs", /โรครัก/นิยายทำมือ/หนังสือทำมือ,0,0,39shopbook,#รีวิว39shopbook #39shopbookอัพเดต #39shopbookรับพรี #39shopbookGiveaway #39shopbookพร้อมส่ง รับกด https://t.co/jWYFgqOk53 เรท 0.34
5,5,2021-03-03 16:34:54,#โรครัก,Verona_lion000,,2,"#วอร์มตับ [ เดย์ X ไนน์ ]
📍590 รส.
📍สนใจสอบถามได้จ้า
📍ให้สิทธิ์คนพร้อมโอนก่อนน้า
.
.
#ltaluktarn #นิยายทำมือ #นิยายทำมือ18 #เฮียฟาร์ที่รัก #คุณคมเจ้าขา #ว่านดูดกาแฟ #ยักษ์กินชา #คุณหนูของผม #โสมขิง #พี่ชายร้ายลึก #พี่ชายซ่อนรัก #พี่ชายร้อนรัก #มังกรสายฟ้า #โรครัก https://t.co/omaYaJeZeT", /วอร์มตับ/ltaluktarn/นิยายทำมือ/นิยายทำมือ18,1,0,real__dia,"💜Lta Luktarn | 💜MA-NELL | 💜Swingblack |
💜Babylinlin | 💜 Hideko_Sunshine"
6,6,2021-03-03 02:35:17,#โรครัก,real__dia,"💜Lta Luktarn | 💜MA-NELL | 💜Swingblack |
💜Babylinlin | 💜 Hideko_Sunshine",21,"#ลักษณ์มีตังค์ [ ลักษณ์ X ตังค์ ]
📍290 รส.
📍สนใจสอบถามได้จ้า
📍ให้สิทธิ์คนพร้อมโอนก่อนน้า
.
.
#ltaluktarn #นิยายทำมือ #นิยายทำมือ18 #เฮียฟาร์ที่รัก #คุณคมเจ้าขา #ว่านดูดกาแฟ #ยักษ์กินชา #คุณหนูของผม #โสมขิง #พี่ชายร้ายลึก  #พี่ชายร้อนรัก #มังกรสายฟ้า #โรครัก #วอร์มตับ https://t.co/Tc7GHmyvQ5", /ลักษณ์มีตังค์/ltaluktarn/นิยายทำมือ/นิยายทำมือ18/เฮียฟาร์ที่รัก/คุณคมเจ้าขา/ว่านดูดกาแฟ/ยักษ์กินชา/คุณหนูของผม/โสมขิง/พี่ชายร้ายลึก/พี่ชายร้อนรัก/มังกรสายฟ้า/โรครัก/วอร์มตับ,0,0,real__dia,"💜Lta Luktarn | 💜MA-NELL | 💜Swingblack |
💜Babylinlin | 💜 Hideko_Sunshine"
7,7,2021-03-03 01:04:46,#โรครัก,real__dia,"💜Lta Luktarn | 💜MA-NELL | 💜Swingblack |
💜Babylinlin | 💜 Hideko_Sunshine",21,"#ว่านดูดกาแฟ [ ว่าน X กาแฟ ]
📍830 รส.
📍สนใจสอบถามได้จ้า
📍ให้สิทธิ์คนพร้อมโอนก่อนน้า
.
.
#ltaluktarn #นิยายทำมือ #หนังสือทำมือ #นิยายทำมือ18 #วอร์มตับ #โรครัก #คุณคมเจ้าขา #เฮียฟาร์ที่รัก #ยักษ์กินชา #คุณหนูของผม #โสมขิง #พี่ชายร้ายลึก  #พี่ชายร้อนรัก #มังกรสายฟ้า #คุณคนน่ามอง https://t.co/ELMKq5uFxd", /ว่านดูดกาแฟ/ltaluktarn/นิยายทำมือ/หนังสือทำมือ/นิยายทำมือ18/วอร์มตับ/โรครัก/คุณคมเจ้าขา/เฮียฟาร์ที่รัก/ยักษ์กินชา/คุณหนูของผม/โสมขิง/พี่ชายร้ายลึก/พี่ชายร้อนรัก/มังกรสายฟ้า/คุณคนน่ามอง,0,1,real__dia,"💜Lta Luktarn | 💜MA-NELL | 💜Swingblack |
💜Babylinlin | 💜 Hideko_Sunshine"
8,9,2021-03-03 00:42:33,#โรครัก,real__dia,"💜Lta Luktarn | 💜MA-NELL | 💜Swingblack |
💜Babylinlin | 💜 Hideko_Sunshine",21,"#พี่เสี่ยคนดี
📍290 รวมส่ง
📍สนใจสอบถามได้จ้า
📍ให้สิทธิ์คนพร้อมโอนก่อนน้า
.
.
.
#ltaluktarn #นิยายทำมือ #หนังสือทำมือ #นิยายทำมือ18 #โรครัก #คุณคมเจ้าขา #ว่านดูดกาแฟ #ยักษ์กินชา #คุณหนูของผม #โสมขิง #พี่ชายซ่อนรัก #พี่ชายร้อนรัก #มังกรสายฟ้า #เฮียฟาร์ที่รัก #วอร์มตับ https://t.co/LVDYZqEgSv", /พี่เสี่ยคนดี/ltaluktarn/นิยายทำมือ/หนังสือทำมือ/นิยายทำมือ18/โรครัก/คุณคมเจ้าขา/ว่านดูดกาแฟ/ยักษ์กินชา/คุณหนูของผม/โสมขิง/พี่ชายซ่อนรัก/พี่ชายร้อนรัก/มังกรสายฟ้า/เฮียฟาร์ที่รัก/วอร์มตับ,0,0,real__dia,"💜Lta Luktarn | 💜MA-NELL | 💜Swingblack |
💜Babylinlin | 💜 Hideko_Sunshine"
9,0,2021-01-31 17:20:52,#โรครัก,Maikaowjai1,,8,"#พี่ชายร้อนรัก [โสมXขิง]
📍650 รส.
📍ในซีล
📍ให้สิทธิ์คนพร้อมโอนก่อนน้า
.
.
.
#ltaluktarn #นิยายทำมือ #หนังสือทำมือ #นิยายทำมือ18 #พี่เสี่ยคนดี #โรครัก #คุณคมเจ้าขา #ว่านดูดกาแฟ #ยักษ์กินชา #คุณหนูของผม #โสมขิง #พี่ชายร้ายลึก #วอร์มตับ #เฮียฟาร์ที่รัก #มังกรสายฟ้า #พี่ชายซ่อนรัก https://t.co/K4LUB1Fak8", /พี่ชายร้อนรัก/ltaluktarn/นิยายทำมือ/หนังสือทำมือ/นิยายทำมือ18,1,1,ND_STM,"🙆‍♀️❣Lta Luktarn | ❣MA-NELL | ❣swingblack |
❣Babylinlin | ❣ 🙆‍♀️"
