,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-12 22:00:29,#โอเมก้าตาบอด,bluushitt,ตราบใดที่อำเภอยังไม่ปิด ผมก็มีสิทธ์จะแจ้งเกิด. I @B_hundred_Hyun you,5,กรี๊ดดดดดดด เห็นนุแบครูปนี้ละนึกถึงเจ้าหัวไชเท้าดีแลน งือออออออ #โอเมก้าตาบอด https://t.co/3YuNXoUzMM, /โอเมก้าตาบอด,12,8,2315AriAripa,ทาสกินแคร์ทุกวันหมอนบอกขอบคุณนะ
1,1,2021-03-12 21:59:54,#โอเมก้าตาบอด,bluushitt,ตราบใดที่อำเภอยังไม่ปิด ผมก็มีสิทธ์จะแจ้งเกิด. I @B_hundred_Hyun you,5,"#โอเมก้าตาบอด
นายเอกเป็นโอเมก้าตาบอดที่มีพลังอ่านใจกับมองเห็นแต่ไม่เห็นพระเอก น้องไปช่วยพี่จากเหตุระเบิดพอเจอดันไปฮีทใส่เขาขบวนทหารก็แตกจับผู้ก่อการร้ายไม่ได้นางเลยจับน้องโยนเข้าไปในโรงเรียนทหารเพื่อที่จะทำให้น้องแข็งแกร่งขึ้น ปากบอกไม่แยแสแต่ดันทิ้งกลิ่นบนตัวเขา
#แนะนำนิยายวาย https://t.co/r83ORkphez", /โอเมก้าตาบอด,66,92,book_lytwo,FXX | #แนะนำนิยายวาย 🐻 🌋🌋🌬️🪐🎉คลั่งไคล้ผู้ชายคลั่งรัก
2,2,2021-03-12 21:58:05,#โอเมก้าตาบอด,bluushitt,ตราบใดที่อำเภอยังไม่ปิด ผมก็มีสิทธ์จะแจ้งเกิด. I @B_hundred_Hyun you,5,"230. #โอเมก้าตาบอด 
นอ.เป็นโอเมก้าตาบอด แต่น้องได้พลังในการมองเห็นกับการอ่านความคิดมาแทน แต่น้องดันใช้พลังนี้กับพอ.ที่เป็นคู่แห่งโชคชะตาของตัวเองไม่ได้ และดันไปทำให้งานที่พอ.ทำวุ่นวาย พอ.เลยจับน้องเข้ากองทัพที่ตัวเองทำงานอยู่ แรกๆอิพี่ก็นิ่ง แต่ตอนนี้คือรักไม่ไหว #แนะนํานิยายวาย https://t.co/EMO5sTELhd", /โอเมก้าตาบอด,11,21,JaeJGirls,#CASSIOPEIA - #EXOL ❤TVXQ with JYJ ; Always keep the faith ; OT5❤ 💛Oh Sehun and EXO / KaiHun Shipper💛 💜Kim Donghan💜 #แนะนำนิยายวาย ในเฟบนะงับ
3,3,2021-03-12 21:55:49,#โอเมก้าตาบอด,bluushitt,ตราบใดที่อำเภอยังไม่ปิด ผมก็มีสิทธ์จะแจ้งเกิด. I @B_hundred_Hyun you,5,กี้ดดดดด ชั้นอ่าน #โอเมก้าตาบอด มา แล้วดูเรฟสิ มันใช่แล้วว ชานแบคต้องมาาาา อ๊ากกกกกกก ดืออออมาก https://t.co/WJtqrkaJZk, /โอเมก้าตาบอด,2,0,mmynks,"IG mmynks_w CHRISTIAN 👼🏻❤️ - DO NOT DISTURB - USA 🇺🇸 San Jose, California #EXO-L #Chanbaek #2Baek #Baekhyun #Sehun #EXO #OT9"
4,4,2021-03-12 16:54:54,#โอเมก้าตาบอด,TGzxcb,น้องจองฮวานโพพระพุทธเจ้า🙏🏻 อย่าจ้วบจ้าบสถาบันTreasure อยากรวย 📮◞˚#chalireview,606,#เต้าหู้อยากให้อ่าน ดีแลนxฮาแกน omegaverseสตอรี่ค่อนข้างยาวขอเล่าคร่าวๆนะนอ.ตาบอด(#โอเมก้าตาบอด) มีพลังได้ยินเสียงความคิดคนแล้วมาเจอกับพอ.แล้วฮีท พอ.เย็นชาแบบไม่สนโลกงี้ไม่พอใจจับน้องเข้าฝึกทหารกองพันตัวเองเลย(จีงๆก็น้าอยากให้เขาใกล้หูใกล้ตา🌚)#แนะนำนิยายวาย  (1) https://t.co/fbUrYzfLb7, /เต้าหู้อยากให้อ่าน/โอเมก้าตาบอด,120,250,whythisworldso,#เต้าหู้อยากให้อ่าน แท็กรีวิวนิยายของเราค่ะแวะไปช้อปกันได้🦋 | inmyheartisbbhandexo
5,5,2021-03-12 14:30:08,#โอเมก้าตาบอด,rainbow_rung8,•เมนทั้งคู่ตามทั้งสองคน| 옹성우 | 강다니엘|• ( รับกดบัตร ) #รีวิวrungrainbow,162,@somsomreview เรากำลังอ่าน #โอเมก้าตาบอด ค่ะ เราพึ่งได้มาตามอ่านตอนล่าสุดร้องไห้เป็นวรรคเป็นเวรแทบจะขาดใจตายรู้สึกความดันขึ้นสูงปี๊ดๆเลยค่ะตื่นเช้ามาต้องเอาช้อนมาทาบตาเพราะตาบวม ตอนล่าสุดหนักเอาการหนักเอาเรื่องมากๆ แต่เนื้อเรื่องมีสิบให้ล้านค่ะ เพราะเนื้อเรื่องดีเกิน(;´༎ຶٹ༎ຶ`), /โอเมก้าตาบอด,0,4,somsomreview,รีวิวแต่นิยายที่ชอบ รับบทลูกอิขายของเก่ง||ความชอบของแต่ละคนไม่เหมือนกันโปรดเข้าใจด้วย||#แนะนำนิยายวาย||คลังวายของผู้สุดแสนจะคลั่งรักนิยายวาย✨🍊📚
6,6,2021-03-12 11:20:29,#โอเมก้าตาบอด,ilios_o,(n.) normal cat - snsd/Got7/nct/aot/tpn/hq/moriarty/yoi/jjk/orv | rt การเมืองค่อนข้างบ่อย,73,โอเมก้าตาบอดจบดี ท่องไว้ ไรท์เตอร์บอกจบดี ท่องไว้ เย็นไว้ #โอเมก้าตาบอด https://t.co/FNbKfAQdMR, /โอเมก้าตาบอด,0,1,ilios_o,(n.) normal cat - snsd/Got7/nct/aot/tpn/hq/moriarty/yoi/jjk/orv | rt การเมืองค่อนข้างบ่อย
7,7,2021-03-12 03:34:57,#โอเมก้าตาบอด,natt_always,light in the dark / 2 คน 3 บ้าน / #คริสสิงโต / Peraya As One,17,วันจันทร์ยัง??? #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,0,natt_always,light in the dark / 2 คน 3 บ้าน / #คริสสิงโต / Peraya As One
8,10,2021-03-11 18:29:52,#โอเมก้าตาบอด,daisynine_,我的青春是EXO,4,[Omegaverse] Never Ωmega in the army (#โอเมก้าตาบอด) #readAwrite #Poydswat. #Poydswat #omegaverse #Boy Love/Yaoi #18  #นิยายวาย  #Mpreg #โอเมก้าตาบอด #โอเมก้าเวิรส์   https://t.co/M23UzxIuTI, /โอเมก้าตาบอด/readAwrite/Poydswat/Poydswat/omegaverse/Boy/นิยายวาย/Mpreg/โอเมก้าตาบอด/โอเมก้าเวิรส์,2,2,daisynine_,我的青春是EXO
9,11,2021-03-11 13:10:24,#โอเมก้าตาบอด,kikisunnyhi,มังน้วย มันยวบยาบ มังนุบนิบ มังน่ายัก งื้อๆตัมมัยน่ายักจังเยยคั๊บ แง้ๆ เธอน่ารัก เค้าเปงคลั่งยักเธอเยย,30,ไม่กล้าอ่านต่อเลยค่ะแง้ #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,0,kikisunnyhi,มังน้วย มันยวบยาบ มังนุบนิบ มังน่ายัก งื้อๆตัมมัยน่ายักจังเยยคั๊บ แง้ๆ เธอน่ารัก เค้าเปงคลั่งยักเธอเยย
10,12,2021-03-11 13:01:49,#โอเมก้าตาบอด,kikisunnyhi,มังน้วย มันยวบยาบ มังนุบนิบ มังน่ายัก งื้อๆตัมมัยน่ายักจังเยยคั๊บ แง้ๆ เธอน่ารัก เค้าเปงคลั่งยักเธอเยย,30,คุณไรท์ติดคำเตือนไว้ว่า คุณจะมองหัวไชเท้าไม่เหมือนเดิมอีกต่อไป ก็คือจริง วันนี้ไปตลาดฉันมองหัวไชเท้าด้วยฟิลเตอร์น้องดีแลนด้วยความเอ็นดูสุดหัวจัย อยากเข้าไปหอมหัว(ไชเท้า) #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,0,kikisunnyhi,มังน้วย มันยวบยาบ มังนุบนิบ มังน่ายัก งื้อๆตัมมัยน่ายักจังเยยคั๊บ แง้ๆ เธอน่ารัก เค้าเปงคลั่งยักเธอเยย
11,13,2021-03-11 09:32:07,#โอเมก้าตาบอด,_bbaekcx,ชบชป.💕🌾 ลูกอุนแมะตลอดกาลลลล คิคิ ☺️,31,ฉันเปียกปอนมากแม่ ล้องงง 😭😭😭😭 #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,0,_bbaekcx,ชบชป.💕🌾 ลูกอุนแมะตลอดกาลลลล คิคิ ☺️
12,14,2021-03-11 03:50:38,#โอเมก้าตาบอด,FilmmikaD,"นามปากกาPoydswat
NM|| #จอมใจของจวิ้นอ๋อง(จบ) #วังวนพิษบุพชาติ(จบ) #บุหลันคืนรัก(หยุดอัพไม่มีกำหนด) 
BL|| #โอเมก้าตาบอด(อัพทุกวันจันทร์)",128,@creamcsom ขอบคุณที่เอ็นดูยัยหัวไชเท้ากับพี่คนสวนนะคะ อย่าลืมติดแทค #โอเมก้าตาบอด เพื่อให้ไรท์เตอร์เห็นด้วยนะคะ, /โอเมก้าตาบอด,0,0,creamcsom,ลูกสาวโซโล่ ; https://t.co/4iBpAm3Lni
13,15,2021-03-10 15:36:34,#โอเมก้าตาบอด,ChanYa_AAm,อยากย้อนเวลา,74,เป็นนิยายที่ทำให้ดิ่งที่สุดที่เคยอ่านมาในชีวิต เกือบ50ตอนที่ผ่านมา เราผูกพันกับน้องมาก เหมือนได้โตไปพร้อมกัน พอเห็นน้องโดนแบบนี้ แล้วใจสลายมาก ไม่ไหวละ พักยาวๆ #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,1,ChanYa_AAm,อยากย้อนเวลา
14,16,2021-03-10 15:30:57,#โอเมก้าตาบอด,ChanYa_AAm,อยากย้อนเวลา,74,"ไรท์ไม่ใจร้ายกับน้องได้ไหม พลังน้อง ตาน้อง น้องสร้างมาเองทั้งหมด จะให้หายไปอย่างงี้จริงเหรอคะ อย่าทำร้ายใจพวกเราไปมากกว่านี้เลยนะ รอตอนต่อไปอยู่นะคะ 
#โอเมก้าตาบอด", /โอเมก้าตาบอด,0,1,ChanYa_AAm,อยากย้อนเวลา
15,17,2021-03-10 15:09:27,#โอเมก้าตาบอด,Put_Ccb,ทาสรักน้องแบคฮยอน,139,สองตอนที่น้องโดนทรมานเราอ่านแล้วดิ่งมากจริงๆ แบบทำยังไงให้ออกจากความรู้สึกแบบนี้อ่ะ ไม่ไหวววววววววว ขอให้น้องเหมือนเดิม ไรท์อย่าใจร้ายกับน้องกับคนอ่านเลยค่ะ #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,1,Put_Ccb,ทาสรักน้องแบคฮยอน
16,18,2021-03-10 15:05:43,#โอเมก้าตาบอด,gottabezhan,"Xiaozhan • Kuanhong • แอคอวตาร ชิปเยอะ

#ป๋อจ้าน #ป๋อหง      ไม่สลับโพ",2087,สองตอนที่น้องโดนทรมานนี่ทำใจอ่านไม่ได้จริงๆอะ อ่านข้ามเลย ฮือออออ  #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,1,gottabezhan,"Xiaozhan • Kuanhong • แอคอวตาร ชิปเยอะ

#ป๋อจ้าน #ป๋อหง      ไม่สลับโพ"
17,19,2021-03-09 15:16:10,#โอเมก้าตาบอด,Amphonept,SEHUN94💛 | JEAHYUN💚 |EXO💜❣CHANBAEK🐯🐶,32,ฉันนอนตอนตี4เพราะใครจะไม่ลืม #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,1,Amphonept,SEHUN94💛 | JEAHYUN💚 |EXO💜❣CHANBAEK🐯🐶
18,20,2021-03-09 10:43:06,#โอเมก้าตาบอด,Jerrymaeww,แอครีความแมส,0,"#แนะนำนิยายวาย
นอ.เป็นโอเมก้าตาบอด เคยแต่งงานเคยผูกพันธะ พอ.เป็นอัลฟ่าเลือดบริสุทธิ์มีพลังพิเศษ ควบคุมอากาศได้ มึงกูใส่ตั้งแต่แรกเจอ พอแทนตัวเองว่าพี่ ชั้นจะดิ้นตาย ทุกตัวละครมีเหตุผลและไม่งี่เง่า ภาษาอ่านเพลินแนว space valkyrie /ender's game #โอเมก้าตาบอด https://t.co/kGd7XNLxcP", /แนะนำนิยายวาย,39,76,munt35010,"อย่าฟอลจ้า เป็นบ้า

โฟกัสแค่นิวอิสต์"
19,22,2021-03-08 05:52:57,#โอเมก้าตาบอด,nnnn__x,𝗶𝘀𝗳𝗷 | 𝟵𝟬'𝘀 𝗸𝗶𝗱𝘀 | 𝗮𝗹𝗰𝗵𝗮𝗻 𝘆𝗲𝗼𝗹𝗺𝗮𝗲 ♡,739,ไปอ่านนนนน มันสนุกมากกกกก น้องตาบอดด้วยเหตการณ์นึง พระเอกเป็นอัลฟ่าจ่าฝูง ยศระดับสูงในกองทัพ คือดีมากกกกก แต่มันจะมีพวก trigger นิดหน่อย ใครที่ไม่ไหว อย่าลืมอ่าน warning นะคะ #โอเมก้าตาบอด https://t.co/FYKDfZxKLQ, /โอเมก้าตาบอด,0,3,nnnn__x,𝗶𝘀𝗳𝗷 | 𝟵𝟬'𝘀 𝗸𝗶𝗱𝘀 | 𝗮𝗹𝗰𝗵𝗮𝗻 𝘆𝗲𝗼𝗹𝗺𝗮𝗲 ♡
20,23,2021-03-07 18:26:51,#โอเมก้าตาบอด,behyunyeol,WE ARE ONE! 엑소 사랑하자🙈💕 #백현이 #찬백 #exol #OBSESSION #Delight,1,เหมือนดูหนัง!! มันดีมากถึงมากที่สุด ไม่ว่าจะยัยน้อง พระเอกหรือตัวอื่นๆคือเกินคาดมากลุ้นไปหมด ไรท์ดำเนินเรื่องได้สมูทมาก มูฟออนไม่ได้ ซื้อเล่มมาเก็บแน่ๆฮะไม่พลาด💖 #โอเมก้าตาบอด https://t.co/V7qd2eXyuV, /โอเมก้าตาบอด,0,1,behyunyeol,WE ARE ONE! 엑소 사랑하자🙈💕 #백현이 #찬백 #exol #OBSESSION #Delight
21,24,2021-03-07 07:52:08,#โอเมก้าตาบอด,liiTehun,@weareoneEXO L-1485🌷✨---------------------ᴇxᴏ🎢ᴋʀɪs ᴡᴜ🧤ᴏʜ sᴇʜᴜɴ🎟ᴘᴀʀᴋ ᴄʜᴀɴʏᴇᴏʟ🧃 ʜᴀɪᴋʏᴜᴜ🏐ᴀᴛᴛᴀᴄᴋ ᴏɴ ᴛɪᴛᴀɴ⚔️ᴋᴜʀᴏᴋᴏ ɴᴏ ʙᴀsᴋᴇᴛ🏀,37,"ขออนุญาตจองแทคทวิตเตอร์ล่วงหน้า3-5ปีสำหรับนิยายในจักรวาลOmegaverse ของไรท์เตอร์ Poydswat
#โอเมก้าตาบอด
#เบต้าข้างบน
#อัลฟ่าก็แค่หมาน้อย
#เจ้าก้อนเกี๊ยวของผม", /โอเมก้าตาบอด/เบต้าข้างบน,4,4,FilmmikaD,"นามปากกาPoydswat
NM|| #จอมใจของจวิ้นอ๋อง(จบ) #วังวนพิษบุพชาติ(จบ) #บุหลันคืนรัก(หยุดอัพไม่มีกำหนด) 
BL|| #โอเมก้าตาบอด(อัพทุกวันจันทร์)"
22,29,2021-03-06 06:31:54,#โอเมก้าตาบอด,meofworld,❤️💙,20,ใจสั่นอะ ทำใจเปิดอ่านตอนที่41ไม่ได้ อยากจะร้องงง #โอเมก้าตาบอด, /โอเมก้าตาบอด,0,1,meofworld,❤️💙
23,30,2021-03-05 18:50:21,#โอเมก้าตาบอด,lilikyouxxx,♡ ริริ 🌈 𝖒𝖘𝖇𝖞 ☄️ hqㅡall | aotㅡrevi 🌬mhaㅡshoto / oisuga | 나나민 jjk | ᴬᵀˢᵁᴴᴵᴺᴬ 🦊🌕 #侑日 | BTS // taegi 💜 みんなでやればできる.,13,"#โอเมก้าตาบอด เรื่องนี้แมส นอ.ตาบอดแต่มีพลังวิเศษ นอ.โดนลบฆ่า จนมาเจอกับพอ. เลยพาไปอยู่ด้วยที่ค่ายทหาร สนุก 
#ควีนของเดมี่ พอ.ชอบเขามากตามเขาต้อยๆ พยายามทำตัวดีแต่ก้เป็นได้แค่ลูกหมาตัวยั่ย ตอนได้เขาครั้งแรกฉันยืนปรบมือ สำเร็จซักทีลูกเอ้ย แม่ภูมิใจ
#แนะนํานิยายวาย #omegaverse https://t.co/SxfuGrzYhR", /โอเมก้าตาบอด,11,23,readaY24hour,#รีวิวนิยายวาย #แนะนำนิยายวาย #นิยายวาย
24,0,2021-02-01 03:45:14,#โอเมก้าตาบอด,real_chakie,บางทีถ้าเธอยอมใจเย็นๆและฟังฉันสักหน่อย,38,"#โอเมก้าตาบอด
นายเอกเป็นโอเมก้าตาบอดที่มีพลังอ่านใจกับมองเห็นแต่ไม่เห็นพระเอก น้องไปช่วยพี่จากเหตุระเบิดพอเจอดันไปฮีทใส่เขาขบวนทหารก็แตกจับผู้ก่อการร้ายไม่ได้นางเลยจับน้องโยนเข้าไปในโรงเรียนทหารเพื่อที่จะทำให้น้องแข็งแกร่งขึ้น ปากบอกไม่แยแสแต่ดันทิ้งกลิ่นบนตัวเขา
#แนะนำนิยายวาย https://t.co/r83ORkphez", /โอเมก้าตาบอด,39,58,book_lytwo,FXX | #แนะนำนิยายวาย 🐻                            🌋🌋สวัสดีทุกคน🌬️🪐🎉
25,32,2021-01-30 18:16:40,#โอเมก้าตาบอด,taohuboy,"im sleeper , ﾟibaekhyunyOu ♡⃕ 🔍.c0m🧁✿",114,กรี๊ดดดดดดด เห็นนุแบครูปนี้ละนึกถึงเจ้าหัวไชเท้าดีแลน งือออออออ #โอเมก้าตาบอด https://t.co/3YuNXoUzMM, /โอเมก้าตาบอด,8,6,2315AriAripa,ทาสกินแคร์ทุกวันหมอนบอก ขอบคุณนะ
26,33,2021-01-30 16:03:10,#โอเมก้าตาบอด,bqreads,"bonjour, mon chéri #bqreads",7,"4) #โอเมก้าตาบอด ฮาแกน♡ดีแลน

หนุกมากกกก นอ.ตาบอด+ถูกที่บ้านสามีเก่าจะฆ่า เลยหนีออกมานอกเมือง ละไปเจอพอ.ที่ทำภารกิจอยู่ พอ.คิดว่านอ.เปนสายลับเลยเอาเข้าฐานทัพ นอ.ตาบอดจิงแต่มองเหนเพราะมีพลังวิเศษ แต่ไม่เหนพอ.คนเดียว 10/10

https://t.co/ISndFZRFi7
#แนะนํานิยายวาย #bqreads https://t.co/Kk2y6TACCd", /โอเมก้าตาบอด/แนะนํานิยายวาย/bqreads,1,0,bqreads,"bonjour, mon chéri #bqreads"
