,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 10:20:18,#ไข่ดาว,kungsjr,รักที่ดี คือรักที่อยู่เเล้วสบายใจ 💖 🌈,4,"ข้าวผัดหน้าอุลต้าแมน | Egg Face Ultraman Fried Rice 
This was a special version of my standard fried rice with the addition of the Ultraman fried egg! #Maneelish #Maneelicious #ThaiFood #อาหารไทย #FriedRice #ข้าวผัด #FriedEgg #ไข่ดาว https://t.co/SjmWeSbN6X", ,1,1,maneelish,"Hi, I’m Manee; married to an Englishman and live in England. I’m lucky to have time to learn the joys of cooking and share my experiments with you!"
1,1,2021-03-08 09:41:41,#ไข่ดาว,misshongbk,,1,"ว่าด้วยเรื่องของไข่จาก ""เราชนะ""  #ไข่เจียว #ไข่ดาว #ไข่ตุ๋น #ไข่พะโล้ #ไข่ลูกเขย อันนี้คือ #ต้มยำไข่เจียว 🔽#อร่อยบอกต่อ #อร่อย 😆 https://t.co/XATuqxzDVk", /ไข่เจียว/ไข่ดาว/ไข่ตุ๋น/ไข่พะโล้/ไข่ลูกเขย/ต้มยำไข่เจียว/อร่อยบอกต่อ/อร่อย,0,0,misshongbk,
2,2,2021-03-07 16:30:01,#ไข่ดาว,MeowNarak,I am Thai. ฉันเป็นคนไทย 🇹🇭  Nice to meet you. ยินดีที่ได้รู้จักนะคะ  My Favorite Artist ศิลปินในดวงใจ #德永英明 #HideakiTokunaga 🇯🇵  #รักแท้ที่เธอไม่ต้องการ,1261,"#THAIFOODS #อาหารไทย 
#ข้าวผัดอเมริกัน #ไข่ดาว 
#อาหารฝีมือพี่สาว #พี่ไก่ 
#โพสภาพอาหารยามดึก https://t.co/SIZ6vSL2CZ", /THAIFOODS/อาหารไทย/ข้าวผัดอเมริกัน/ไข่ดาว/อาหารฝีมือพี่สาว/พี่ไก่/โพสภาพอาหารยามดึก,0,2,MeowNarak,I am Thai. ฉันเป็นคนไทย 🇹🇭  Nice to meet you. ยินดีที่ได้รู้จักนะคะ  My Favorite Artist ศิลปินในดวงใจ #德永英明 #HideakiTokunaga 🇯🇵  #รักแท้ที่เธอไม่ต้องการ
3,3,2021-03-07 12:26:08,#ไข่ดาว,Janyaporn_123,"IG : ppoorrnnrryy 😋 ของกิน ทำกับข้าว                      IG : janyaporn123 🙋‍♂️ ของผมเอง 
#ทอมดี้ #ทอมโสด #เพศเดียวกัน #คนโสด2020 #ชอบท่องเที่ยว #ชอบของกิน",86,".
🍚 ข้าวคะน้าหมูกรอบกับไข่ดาว 🍳
💱 ราคา 60 บาท 
😋 อร่อย 09/10
📍 ร้านรักษ์ผัดไทย ปลายคลอง , ตราด
📷 07/03/2563
.
#ข้าวคะน้าหมูกรอบ #ผัดคะน้าหมูกรอบ #คะน้า #หมูกรอบ #ไข่ดาว #ผัดไทยปลายคลอง #ตราด #ประเทศตราด #จังหวัดตราด #ปลายคลอง #อร่อย #07032563 https://t.co/Npp8P0ZkXC", /ข้าวคะน้าหมูกรอบ/ผัดคะน้าหมูกรอบ/คะน้า/หมูกรอบ/ไข่ดาว/ผัดไทยปลายคลอง/ตราด/ประเทศตราด/จังหวัดตราด/ปลายคลอง/อร่อย,0,0,Janyaporn_123,"IG : ppoorrnnrryy 😋 ของกิน ทำกับข้าว                      IG : janyaporn123 🙋‍♂️ ของผมเอง 
#ทอมดี้ #ทอมโสด #เพศเดียวกัน #คนโสด2020 #ชอบท่องเที่ยว #ชอบของกิน"
4,4,2021-03-02 11:13:05,#ไข่ดาว,FoodmfgUK,Tweeting and retweeting all #foodmanufacutring and #mfgUK tweets,4091,"#คะน้าหมูกรอบ #ไข่ดาว
ราดหน้าบ้านบดินทร์ #เมนูตามสั่ง #ตามสั่ง 
#อาหารจานโปรด #FoodAndDrink
#Thailand
#อาหาร #Food
#รีวิวของกิน #รีวิวอาหาร
#รีวิวอร่อย #เรือนช่างกิน
#อร่อยบอกต่อ #อร่อยไปแดก
#อร่อยไปกิน #อร่อยจนต้องรีวิว
#ThaiFood
#อาหารการกิน
#เมนูเด็ด #เมนูอร่อย #อร่อยจริงรีวิว https://t.co/Io99UvdijW", /คะน้าหมูกรอบ/ไข่ดาว/เมนูตามสั่ง/ตามสั่ง/อาหารจานโปรด/FoodAndDrink/Thailand/อาหาร/Food,1,4,FoodAndDrink_FD,TW #อาหารจานโปรดFoodAndDrink ที่จะพาคุณเพลิดเพลินไปกับรูปอาหาร ชื่ออาหารและเครื่องดื่มนานาชนิด #รีวิวอาหาร #อร่อยบอกต่อ (ถ้าอร่อยบอกชื่อร้าน) #PFC #เรือนช่างกิน
5,6,2021-03-01 13:20:44,#ไข่ดาว,naphaprow,"👩‍🎓มัธยม: หอวัง 
มหาวิทยาลัย: ABAC
รักการเสี่ยงโชค #ยี่กี #ห้องฟ้า 9️⃣🃏🎲🎰
👇 สมัครเลย 🙂👇 
https://t.co/lFb16cAtfL",59,#กระเพรากุ้ง #ไข่ดาว #FoodLover 🦐🦐🙂 https://t.co/JAVFlj08qf, /กระเพรากุ้ง/ไข่ดาว/FoodLover,0,0,naphaprow,"👩‍🎓มัธยม: หอวัง 
มหาวิทยาลัย: ABAC
รักการเสี่ยงโชค #ยี่กี #ห้องฟ้า 9️⃣🃏🎲🎰
👇 สมัครเลย 🙂👇 
https://t.co/lFb16cAtfL"
6,0,2021-01-29 07:22:43,#ไข่ดาว,job861006,ติวเตอร์เลข | มีสาระบ้าง ไร้สาระบ้าง | ตลกแต่ไม่ตลอด | หยาบคายพอประมาณ | Love me Love my dogs & cats | ☠️☠️☠️ | ติ่งตามเวลาว่าง,1101,"อยากตาโตเหมือนแมวจัง 😳

#ไข่ดาว https://t.co/YMaqHBG7BP", /ไข่ดาว,0,2,job861006,ติวเตอร์เลข | มีสาระบ้าง ไร้สาระบ้าง | ตลกแต่ไม่ตลอด | หยาบคายพอประมาณ | Love me Love my dogs & cats | ☠️☠️☠️ | ติ่งตามเวลาว่าง
7,1,2021-01-29 04:57:09,#ไข่ดาว,wVO4E9j11UCIdlK,目玉焼きの警察です。#目玉焼き,5,"ข้าวผัดกระเพรา ที่ไม่มีกระเพรา
ガパオの葉がないガパオチャーハン
.
.
.
.
.
.
.
.
.
.
#料理 #料理日記 #料理記録 #料理好きな人と繋がりたい #ガパオ #ガパオチャーハン #目玉焼き #タイ料理 #อาหาร #อาหารไทย #อาหารไทยในต่างแดน #ข้าวผัดกระเพรา #ข้าวกระเพราคลุก #ไข่ดาว https://t.co/GhQPWaNAib", /料理/料理日記/料理記録/料理好きな人と繋がりたい/ガパオ/ガパオチャーハン/目玉焼き/タイ料理,1,5,bb_aitong,🐶//I❤️my family//ชอบเที่ยวชอบกิน//私は日本と結婚したタイ人です。 料理も日本語も苦手ですが、上手くなるように頑張ってます。よろしくお願いします。//✈️:🇹🇭🇯🇵🇱🇦🇻🇳🇹🇼🇰🇷
8,2,2021-01-28 13:25:49,#ไข่ดาว,n9UG991bpo4vYXU,"#ดูแลสุขภาพ #ลดไขมัน #ฉันจะสวย
#หุ่นดี #แข็งแรง #ผิวสวย #เปลี่ยนแปรงตัวเอง #รักตัวเอง #คิดบวก #ร่าเริง #ยิ้มสวย",25,"อาหารแต่วันละ...ไม่มีผักเลย ❤️😊
แบบนี้เรียกว่า ของชอบ แต่ร่างกายไม่ชอบ กินไม่ครบโภชนาการ ร่างกายเสื่อมสภาพเร็วมาก 
#ข้าวผัดไข่ #ไข่ดาว #อาหาร #Food
#มีแต่ไข่ #ยุควิกฤต #เน้นโปรตีน https://t.co/u56dPUo8F6", /ข้าวผัดไข่/ไข่ดาว/อาหาร/Food/มีแต่ไข่/ยุควิกฤต/เน้นโปรตีน,0,2,n9UG991bpo4vYXU,"#ดูแลสุขภาพ #ลดไขมัน #ฉันจะสวย
#หุ่นดี #แข็งแรง #ผิวสวย #เปลี่ยนแปรงตัวเอง #รักตัวเอง #คิดบวก #ร่าเริง #ยิ้มสวย"
9,4,2021-01-27 10:56:26,#ไข่ดาว,naphaprow,"👩‍🎓มัธยม: หอวัง 
มหาวิทยาลัย: ABAC
รักการเสี่ยงโชค #ยี่กี #ห้องฟ้า 9️⃣🃏🎲🎰
👇 สมัครเลย 🙂👇 
https://t.co/lFb16cAtfL",59,"#กระเพราปลาหมึก #ไข่ดาว เยิ้มๆ 🐙🐙🍳😀
#FoodLover https://t.co/bTOxaSnErM", /กระเพราปลาหมึก/ไข่ดาว/FoodLover,0,0,naphaprow,"👩‍🎓มัธยม: หอวัง 
มหาวิทยาลัย: ABAC
รักการเสี่ยงโชค #ยี่กี #ห้องฟ้า 9️⃣🃏🎲🎰
👇 สมัครเลย 🙂👇 
https://t.co/lFb16cAtfL"
