,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 09:24:49,#ไม่รักป๊าหรือม๊า,KonakaPc13,ผู้ที่ข้าพึงใจ เอาใจข้าไปให้สุนัขกินก็ช่างปะไร🥲🥰❤️                       • • •TGCF🦋🌸•#BL #นิยายแปลจีน #นิยายวายแปลจีน #สวรรค์ประทานพร #เทียนกวานซือฝู,6,"แนะนำนิยายวาย #pxzแนะนำ
1.#พี่พระเอกกับเด็กมาในกอง
2.#คุณสราญหาคู่ 
3.#ใครเพื่อนมึงคร้าบ
4.#ไม่รักป๊าหรือม๊า
5.#สถานะซึนโซน
6.#อุบายกินรา
7.#รักแท้ของผมคือคุณ
8.#ใครเพื่อณมึง
9.#รัตติจันทร์พันกร 
10.#วันดีวิทยา", /pxzแนะนำ/พี่พระเอกกับเด็กมาในกอง/คุณสราญหาคู่/ใครเพื่อนมึงคร้าบ/ไม่รักป๊าหรือม๊า/สถานะซึนโซน,207,242,queeniceso,• อ่านไปเรื่อย • • เนม : ซอ • • ชอบอ่านนิยายวาย •
1,1,2021-03-08 06:36:22,#ไม่รักป๊าหรือม๊า,Mii_Dear,เมน 마크 ชอบ マーク รัก 段宜恩 คิดถึง Mark Tuan อยากเจอคุณมาร์ค~ ｜เป็นคูมแม่น้องไมโล+น้องถั่ว ｜❤️💜 MTBB 🐊🐍｜💚❤️bjyx🦁🐰｜♡〔GOT7〕♡ XCIII†DAYTOY,256,แก สนุกมาก โฮ 😭💖 เหมือนอ่านวายผสมวรรณกรรมยังไงมะรู้ ชอบจัง ฮืออออออ #ไม่รักป๊าหรือม๊า https://t.co/hfNzSSeOva, /ไม่รักป๊าหรือม๊า,321,308,eyehippyy,ꔛ ʕ•ᴥ•ʔ ▼・ᴥ・▼ 🧸🧺🍦👩🏼‍🎨🌞 eyellustrator &others 2OO% — @imyoureye’s | @hiccupopo’s | @arounddasun’s | @1OOOeyeland’s ( about art commission : pls dm💥)
2,2,2021-03-08 03:49:44,#ไม่รักป๊าหรือม๊า,muyanyyy,,3,นั่งรถเมล์ผ่านแถวๆ บีเพลินจิต ได้ยินเสียงขลุ่ยครวญเพลงใจรัก คิดถึงนุ้งลิปดากับป๊าคิน #ไม่รักป๊าหรือม๊า, /ไม่รักป๊าหรือม๊า,2,1,pepinumbxxxxx,💓𝙹𝙹𝙿 𝙸𝚂 𝙼𝚈 𝚆𝙾𝚁𝙻𝙳🍑🌴💓》❤𝙶𝙾𝚃𝟽❤》💚𝙸𝙶𝙾𝚃𝟽🐣🐥
3,5,2021-03-07 13:13:47,#ไม่รักป๊าหรือม๊า,JAPANBOY_TS,🌈💎𝕋ℝ𝔼𝔸𝕊𝕌ℝ𝔼 @treasuremembers 💎🌈 อีกนิดจะไม่ได้นอนแล้ว|กระดึ้บกระดิ๊บนุ๊ฟนิ๊ฟปี้บๆๆๆๆ|ISFP-T💅🏻ติ่งวงเดียวคือวงการ💅🏻,67,คุมไรท์ที่บอกว่าเรื่องนี้ฟีลกู้ด และ ความคิดในหัวผมที่อ่านมาถึง track 13 อ่ะนะ... #ไม่รักป๊าหรือม๊า https://t.co/0rGcJW2afI, /ไม่รักป๊าหรือม๊า,121,29,CielGot7,🛳
4,6,2021-03-07 12:47:05,#ไม่รักป๊าหรือม๊า,ello_sn,💚♥,7,"อนต๋าดีจัย ลุงๆป้าๆพาต๋ามาถึง 1m 🥺🥺
#ไม่รักป๊าหรือม๊า https://t.co/rJ8Ls4l8E0", /ไม่รักป๊าหรือม๊า,47,49,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀"
5,13,2021-03-07 07:18:11,#ไม่รักป๊าหรือม๊า,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2921,"ชั้นรักนายอคิระวะ พ่อพระเอกของหนู ชอบความรักเมียของเธอ นายคนนี้ไม่มีหัวใจ!! เพราะหัวใจอยู่ที่น้องลิปดา!!
#ไม่รักป๊าหรือม๊า", /ไม่รักป๊าหรือม๊า,1,1,fxrnpeachoc,คลั่งรักน้องแบ้ก @B_hundred_Hyun 💗🍼🌸🐷
6,17,2021-03-07 05:41:48,#ไม่รักป๊าหรือม๊า,IchBinNalon,"ช่วงย้ายค่ายเบอร์เดิม จาก""ลัทธิเบคอน""ไปอยู่""สำนักชานมไข่มุกและไอศกรีม""",13,มึงนิยายเรื่องนี้ ไม่สิ เรื่องราวมหากาพย์อันยิ่งใหญ่ที่กูตัดสินใจเข้ามาตอน 5 ทุ่มจนถึงตี 3 กูไม่รู้สึกเสียเวลาเลยแม้แต่นิดเดียวมันดีมาก มากจริงๆ ทั้งขำ เศร้า โกรธ โมโห ดีใจ แม่งมาหมดพี่อคินคือสุดจริงๆ เคยคิดว่าอชิเป็นพระเอกที่สุด เจออคินคือต้องอ่าน แบบต้องเลย #ไม่รักป๊าหรือม๊า, ,7,4,rakkhunHibari,"' Am I the only one, getting lost in deep space, surrounded by the stars '"
7,27,2021-03-07 03:07:57,#ไม่รักป๊าหรือม๊า,_caramelmilk_,ชานแบค โน่มิน ซองเล่อ ดงเหริน ไม่สลับโพ สวนโพเจอกันที่สน.ค่ะ,251,ปะป๊าอคินกินแค่ข้าวต้มหมูเหมือนคนไม่มีเงิน มะม๊าลิปดาสงสาร มุ้แง เอ็นดูน้อนนนนนน มันเป็นอ่อนไหวตามฮอร์โมนคนท้องอะเนาะ #ไม่รักป๊าหรือม๊า https://t.co/V2qwNHBjRi, ,3,1,jujubxoxo,"It’s so lovely, can’t complain 🤍"
8,37,2021-03-07 02:12:29,#ไม่รักป๊าหรือม๊า,ddinnidd,I tomato you 💥🍅☀,13,#ไม่รักป๊าหรือม๊า, /ไม่รักป๊าหรือม๊า,0,0,ddinnidd,I tomato you 💥🍅☀
9,59,2021-03-06 18:03:45,#ไม่รักป๊าหรือม๊า,kiikPYS,☀️☁️ 🐯🐰🐋🐧💙❤️,440,"˳✧༚  pls rt  ˳✧༚ 
(omegaverse) daylight destiny— track 17

""ในนี้... เป็นลูกของเราหรือ?""

#ไม่รักป๊าหรือม๊า

dd: https://t.co/ZjwzXdKH14
raw: https://t.co/XM9ueCzZPO

#นิยายวาย
#แนะนำนิยายวาย 
#รีวิวนิยายวาย https://t.co/kRktQ3O44g", /ไม่รักป๊าหรือม๊า,109,65,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀"
