,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_j,ratingHashReview_j,ratingAccountReview_j,ratingNoTweet_q,ratingHashReview_q,ratingAccountReview_q,ratingTwitter3_j,ratingTwitter4_j,ratingTwitter3_q,ratingTwitter4_q,ratingLike_j,ratingLike_q,ratingView_j,ratingView_q,ratingWebsite_j,ratingWebsite_q,finalRating1,finalRating2,finalRating3,finalRating4
492,wickedwish_,????? Boy Love Lovely Room,"4,539",?????????????????????? ???????????????????????????????? ????...,"14,580",??,4,https://cdn.readawrite.com/articles/2326/2325925/thumbnail/,2221,,(omegaverse) daylight destiny #????????????????,147542,,????????????????,883,10,8,5,5,5,5,5,5,5,5,5,5,3,5,2,5,2.3,5,5,5,5,5
168,25.15.66,????? Boy Love Lovely Room,984,??????? '??????????????' ??????????? ? ?????????????????????????????? ?????????????????????? ???????,"2,714",??,35,https://cdn.readawrite.com/articles/2062/2061028/thumbnail/,516,,Your Sky #???????????,158440,,???????????,38,3,4,2,4,3,5,5,3.8,3,2.8,4.6,4.7,2,5,2,5,2,5,5,5,4.7,4.8
683,wickedwish_,????? Boy Love Lovely Room,"48,734",???????????????????????????????? ????????????????????????? ?????????????????????????????????????????,"60,137",??,35,https://cdn.readawrite.com/articles/1592/1591120/thumbnail/,15802,,(omegaverse) midnight fortune #???????????????,5479575,,???????????????,42,3,3,2,4,3,5,5,3.8,3,2.8,4.6,4.7,5,5,5,5,5,5,5,5,4.7,4.8
112,Real__Jang,????? Boy Love Lovely Room,484,"""???? ????????"" ""?"" ""??????????????????????""",808,??,19,https://cdn.readawrite.com/articles/2044/2043737/thumbnail/,136,"??????,???,???????",#??????????? [yaoi],24122,,???????????,91,2,3,3,4,2,5,5,2.5,3,3,4.2,4.4,1,5,1,5,1,5,5,5,4.5,4.6
224,littleskyofme,????? Boy Love Secret Room,623,“?????????? ????????? ?????????????...???????????????????????????????????????????? ???????????,"1,789",??,10,https://cdn.readawrite.com/articles/2170/2169423/thumbnail/,213,"????,?????????,??????????????,Boy Love/Yaoi,18+,??????,SM,?????????????,????????,??????,???????,??????????????????,?????,?????",The secret of falling angel | #??????????????,30836,,??????????????,105,2,3,3,4,2,5,5,2.5,3,3,4.2,4.4,1,5,1,5,1,5,5,5,4.5,4.6
614,cincere,????? Boy Love Lovely Room,"4,442",???????????????????????????????? WFH ???????????????????????????????????????????????????????????????,"10,712",??,23,https://cdn.readawrite.com/articles/1569/1568455/thumbnail/,1804,"???????????,????????,Boy Love/Yaoi,slice of life",[?????????????? 28/01] #??????????? [???.Hermit Books],437404,??????????????,???????????,22,1,3,1,4,2,5,5,2.5,2.3,2,4.2,4.4,3,5,2,5,2.3,5,5,5,4.5,4.6
121,25.15.66,????? Boy Love Lovely Room,"1,163",???????????? 5 ??? ?????????????? 5 ??? ??????????????????????,"2,055",??,8,https://cdn.readawrite.com/articles/2058/2057740/thumbnail/,403,"Boy Love/Yaoi,????????,???,????????,?????????????",Real Love #????????????????? [YAOI],39288,,?????????????????,147,4,2,3,3,3,5,3.3,5,3,3,4.4,4.6,2,5,1,5,1.3,5,5,4.4,4.6,4.7
158,????,????? Boy Love Secret Room,"13,470",‘??????????????????? ??????????? ??????????????????’,"20,002",??,24,https://cdn.readawrite.com/articles/2093/2092142/thumbnail/,3924,"Boy Love/Yaoi,Fantasy,omegaverse,????????,????????????,18+",METANOIA #???????? [Omegaverse ?],970488,,????????,41,6,2,2,3,4,5,3.3,5,3,2.8,4.4,4.6,4,5,3,5,3.3,5,5,4.4,4.6,4.7
1041,Cinzano 505,????? Boy Love Secret Room,"16,331",??????????????????????? ???????????? ?????? ?????? ?????????????????????????????????????????????????,"23,072",??,26,https://cdn.readawrite.com/articles/1898/1897652/thumbnail/,4098,"Boy Love/Yaoi,????????,?????????????,friends with benefits",UNKNOWN LOVER #??????????????,1340550,,??????????????,378,3,2,4,3,3,5,3.3,3.8,3.3,3.5,4,4.3,4,5,3,5,3.3,5,5,4.4,4.3,4.5
577,??????,????? Boy Love Lovely Room,"3,141",?????????????????...?????????????????????????????,"4,263",??,24,https://cdn.readawrite.com/articles/1536/1535437/thumbnail/,625,"???????????,????,??????,Boy Love/Yaoi,????????,Yaoi",#???????????,235629,,???????????,40,1,1,2,2,2,5,3.3,2.5,2,2,3.6,4,2,5,2,5,2,5,5,4.4,4.1,4.3
731,zearet17,????? Boy Love Lovely Room,"5,963",???????????????????? 30 ??? ????????????????????????????????????????????????????????? 11 ???????????,"6,703",??,22,https://cdn.readawrite.com/articles/1635/1634120/thumbnail/,1349,"30????????????????????,30daysofus,??????????????30???",????? #???????????????????????,249224,,???????????????????????,57,2,1,2,2,2,5,3.3,2.5,2,2,3.6,4,3,5,2,5,2.3,5,5,4.4,4.1,4.3
