,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title
0,WHY worry,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,พ่อบ้านคุณใหม่: นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,จบ,1.0,https://cdn.readawrite.com/articles/454/453484/thumbnail/,0.0,,พ่อบ้านคุณใหม่,https://www.readawrite.com/a/azak6o,74,พ่อบ้านคุณใหม่
1,อาอร,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,4,เมืองที่อยู่ไกลเสียนัก แต่อยู่ใกล้แค่เอื้อมมือถึง เมืองบังบด บดบังจากสายตาชาวโลก นครแห่งทองคำ,6,จบ,25.0,https://cdn.readawrite.com/articles/588/587248/thumbnail/,3,,ณ เมืองแมน,https://www.readawrite.com/a/azdodi,"1,930",ณ
2,MoMiMarChi,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,หลงจิวเมิ่งผู้ครอบครองเส้นชีพจรไร้ค่า ดิ้นรนเอาตัวรอดแต่สุดท้ายไม่พ้นถูกสังหารโดยสิ่งมีชีวิตลึกลับ แ,5,จบ,3.0,https://cdn.readawrite.com/articles/642/641214/thumbnail/,0,"นิยายแฟนตาซี,ปริศนา,กำลังภายใน,ผจญภัย,ตลก,นิยายจีน,ย้อนเวลา,กลับมาเกิดใหม่",7 ชะตาฟ้าสังหาร(命運回到過去),https://www.readawrite.com/a/azexfe,786,ชะตาฟ้าสังหาร
3,Lord of cinder,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,5,เขาถูกลอบสังหารจนตาย และมาเกิดใหม่ในโลกโบราณยุคสามก๊ก ในร่างเหี้ยนเต้ ฮ่องเต้หุ่นเชิดที่ใครๆ ก็มองว่,14,จบ,9.0,https://cdn.readawrite.com/articles/914/913340/thumbnail/,3,"นิยายจีนโบราณ,จอมยุทธ์,กำลังภายใน,ผจญภัย,นิยายจีน,นิยายแฟนตาซี",จอมคนสยบสามก๊ก,https://www.readawrite.com/a/azlakf,"1,958",จอมคนสยบสามก๊ก
4,ยาจกเฒ่า,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1,ทิชาหลงเข้าไป ในนาคาภิภพและได้เจอกับ เตชะนาคาหนุ่มรูปงาม พร้อมกับวาโยพญาลิงลม ไกรสรนรสิงห์ และทั้งหม,4,จบ,15.0,https://cdn.readawrite.com/articles/1132/1131291/thumbnail/,1,นิยายแฟนตาซี,นาคราทิชาภูมิ,https://www.readawrite.com/a/azqdhl,336,นาคราทิชาภูมิ
5,Kant Undunkel,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,5,เมื่อสองพี่น้องต้องสละสะดือและชีวิต เพื่อทดแทนบุญคุณ,2,จบ,1.0,https://cdn.readawrite.com/articles/1308/1307696/thumbnail/,5.0,,ผู้เสียสละสะดือ,https://www.readawrite.com/a/azuhhq,"1,482",ผู้เสียสละสะดือ
6,แฟรนสิส,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,2,ผจญภัย​กับเด็กชายแจ็ค​สันเด็กกำพร้าที่แม่เสียตอนคลอด นิยายดราม่าที่จะเล่าเรื่องการใช้ชีวิตของเด็กชาย,0,จบ,0.0,https://cdn.readawrite.com/articles/1374/1373311/thumbnail/,2.0,,การผจญภัย​ของเด็กชายแจ็กสัน,https://www.readawrite.com/a/azw12g,38,การผจญภัย
7,Mikato Hanata,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0, เรื่องนี้ก็ตั้งใจทำมากหวังว่าทุกคนจะชอบ อ่านแล้วอย่าลืมสนับสนุนผมด้วยการกดติดตามด้วยนะครับ,0,จบ,1.0,https://cdn.readawrite.com/articles/1374/1373377/thumbnail/,0.0,,ThePower พลังอันแปลกปลาด,https://www.readawrite.com/a/azw14c,29,พลังอันแปลกปลาด
8,Kaipu boxt,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,2,เมื่อ4ตระกูลปีศาจได้รับจดหมายให้ร่วมมือกันเพื่อกำจัดปีศาจอีกฝ่ายหนึ่งที่พยายามจะล้างมนุษย์ให้สูญสิ้น,1,จบ,1.0,https://cdn.readawrite.com/articles/1464/1463330/thumbnail/,1,"the mission,ภารกิจพิชิตปีศาจ,ปีศาจ,kaipu boxt",The mission ภารกิจพิชิตปีศาจ,https://www.readawrite.com/a/azy4jf,62,ภารกิจพิชิตปีศาจ
9,Blackfield,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,Fenrir: นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,จบ,0.0,https://cdn.readawrite.com/articles/101/100738/thumbnail/,0.0,"นิยายแฟนตาซี,นิยายโรแมนติก,ดราม่า,ปริศนา",Fenrir,https://www.readawrite.com/a/az2c88,197,
