,author_x,category_x,commentCount_x,description,favouriteCount,isComplete_x,numOfchap_x,pic_x,ratingCount_x,tag_x,title_x,viewer_x,new_title_x,hashtag,author_y,category_y,commentCount_y,isComplete_y,numOfchap_y,pic_y,ratingCount_y,tag_y,title_y,viewer_y,new_title_y
0,mplusss,นิยาย Boy Love Secret Room,"2,359",'เมื่อ 3P มาแบบ 4K พูดได้คำเดียวว่างานนี้ Full HD สุดๆ',"8,158",จบ,18.0,https://cdn.readawrite.com/articles/1944/1943683/thumbnail/,"1,051","เข้ามาลึกๆ,insert here,Boy Love/Yaoi,18+,20+,นิยายวาย,SM,นิยายโรแมนติก,3p,bdsm","#เข้ามาลึกๆ Side-XL(3P,BDSMบางตอน)","721,051",,เข้ามาลึกๆ,mplusss,นิยาย y,25,,18,https://cdn-th.tunwalai.net/files/story/478050/637370622694033385-story.jpg,71,,"#เข้ามาลึกๆ #SideXL (3P,BDSMบางตอน)","24,311",
1,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,maskeren,นิยาย y,0,,2,https://cdn-th.tunwalai.net/files/story/273047/637249228529904064-story.jpg,18,,อาทิตย์ตอนกลางวัน #บุ๋นเปรม,"1,359",อาทิตย์ตอนกลางวัน
2,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,PCY_1224,นิยาย y,40,,12,https://cdn-th.tunwalai.net/files/story/382814/637162451810467070-story.jpg,60,"บุ๋นเปรม,bounprem,วินทีม",เด็กเฮียเบียร์ #บุ๋นเปรม,"38,613",เด็กเฮียเบียร์
3,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,guest,นิยาย y,0,,7,https://cdn-th.tunwalai.net/files/story/405767/637209264825925450-story.jpg,45,"บุ๋นเปรม,วินทีม,โอห์มฟลุ๊ค,ดีนภาม,วิศวะ,รักวุ่นวานของนายปี1",รักวุ่นวายของนายปี1 #บุ๋นเปรม,"2,586",รักวุ่นวายของนายปี
4,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,วันๆหนึ่ง,นิยาย y,2,จบ,19,https://cdn-th.tunwalai.net/files/story/443240/637272592927967658-story.jpg,23,บุ๋นเปรม,เพื่อนกันมั้ย? #บุ๋นเปรม,"3,899",เพื่อนกันมั้ย
5,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,Toon,นิยาย y,0,,1,https://cdn-th.tunwalai.net/files/story/448503/637282000642520307-story.jpg,9,"แวมไพร์,บุ๋นเปรม,vampireandblood",vampireandblood | #บุ๋นเปรม,553,
6,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,แฮชแท็ก SOTUS,นิยาย y,4,จบ,13,https://cdn-th.tunwalai.net/files/story/464119/637319509839859187-story.jpg,7,"บุ๋นเปรม,yaoi",เฮียอะ...มีเมียยัง #บุ๋นเปรม,"4,260",เฮียอะมีเมียยัง
7,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,pim_pim0000,นิยาย y,0,จบ,16,https://cdn-th.tunwalai.net/files/story/494170/637409749026507530-story.jpg,4,"บุ๋นเปรม,เก้าเอิร์ธ,โอร์มฟลุ๊ค,สิงโตคริส,โลกเวทมนต์,เด็กห้องf",เด็กห้อง F #บุ๋นเปรม,"1,172",เด็กห้อง
8,รองเท้าแตะข้างเดียว,นิยาย Boy Love Secret Room,27,เปรม : เค้าคือพี่ชายของเพื่อนสนิทผม เค้ามีแฟนแล้วผมรู้ แต่หัวใจผมกลับปิดหูปิดตา ถลำลึกดิ่งสู่ความสุข,131,จบ,31.0,https://cdn.readawrite.com/articles/1957/1956540/thumbnail/,16,,รักคนมีเจ้าของ#บุ๋นเปรม,"11,126",รักคนมีเจ้าของ,บุ๋นเปรม,jerada,นิยาย y,0,,4,https://cdn-th.tunwalai.net/files/story/503910/637440424986330752-story.jpg,3,บุ๋นเปรม,เปาๆของเฮีย #บุ๋นเปรม,239,เปาๆของเฮีย
9,ไรทเตอร์สีม่วง,นิยาย Boy Love Secret Room,19,มึงอ่ะ ของกูจำเอาไว้,69,จบ,1.0,https://cdn.readawrite.com/articles/2142/2141141/thumbnail/,17,"บุ๋นเปรม,ncบุ๋นเปรม,บุ๋นเปรมnc,วินทีม",มึงเด็กกู #บุ๋นเปรม,"1,582",มึงเด็กกู,บุ๋นเปรม,maskeren,นิยาย y,0,,2,https://cdn-th.tunwalai.net/files/story/273047/637249228529904064-story.jpg,18,,อาทิตย์ตอนกลางวัน #บุ๋นเปรม,"1,359",อาทิตย์ตอนกลางวัน
