,author_x,category_x,commentCount_x,isComplete_x,numOfchap_x,pic_x,ratingCount_x,tag_x,title_x,viewer_x,new_title_x,hashtag,author_y,category_y,commentCount_y,isComplete_y,numOfchap_y,pic_y,ratingCount_y,tag_y,title_y,viewer_y,new_title_y
0,พี่ติ๊ส.,นิยาย y,80,,6,https://cdn-th.tunwalai.net/files/story/1414/636997558092541246-story.jpg,230,"yaoi,มัธยม,นิยายy,ชายรักชาย,จัสยูยิมเซย์",Just U ♥ #จัสยูยิมเซย์ [Yaoi],"58,676",,จัสยูยิมเซย์,พี่ติ๊ส.,นิยาย y,80,,6,https://cdn-th.tunwalai.net/files/story/1414/636997558092541246-story.jpg,230,"yaoi,มัธยม,นิยายy,ชายรักชาย,จัสยูยิมเซย์",Just U ♥ #จัสยูยิมเซย์ [Yaoi],"58,676",
1,blacksummer,นิยาย y,44,,12,https://cdn-th.tunwalai.net/files/story/13054/13054-story.jpg,145,"Yaoi , พี่ครับ ผม(ไม่)ชอบผู้ชาย , R18+",[Yaoi&NC18+] #พี่ครับ ผม(ไม่)ชอบผู้ชาย,"29,144",,พี่ครับผม,blacksummer,นิยาย y,44,,12,https://cdn-th.tunwalai.net/files/story/13054/13054-story.jpg,145,"Yaoi , พี่ครับ ผม(ไม่)ชอบผู้ชาย , R18+",[Yaoi&NC18+] #พี่ครับ ผม(ไม่)ชอบผู้ชาย,"29,144",
2,garoo-pop,นิยาย y,4,,1,https://cdn-th.tunwalai.net/files/story/13184/13184-story.jpg,105,"2pm, fic, Yaoi, Fic2pm,",[แฟนฟิค] 2 : PM Deadline...บ่ายสอง #บ่ายสองต้องรอด,"2,415",แฟนฟิค,บ่ายสองต้องรอด,garoo-pop,นิยาย y,4,,1,https://cdn-th.tunwalai.net/files/story/13184/13184-story.jpg,105,"2pm, fic, Yaoi, Fic2pm,",[แฟนฟิค] 2 : PM Deadline...บ่ายสอง #บ่ายสองต้องรอด,"2,415",แฟนฟิค
3,jokerginger,นิยาย y,35,,5,https://cdn-th.tunwalai.net/files/story/13793/13793-story.jpg,502,"got7,markbam,yaoi,bnior,jackjae,yuglee,nc",GOT7 WICKED #ฟิคเด็กเถื่อน { NC PART },"105,536",,ฟิคเด็กเถื่อน,jokerginger,นิยาย y,35,,5,https://cdn-th.tunwalai.net/files/story/13793/13793-story.jpg,502,"got7,markbam,yaoi,bnior,jackjae,yuglee,nc",GOT7 WICKED #ฟิคเด็กเถื่อน { NC PART },"105,536",
4,สีดำ?,นิยาย y,530,,32,https://cdn-th.tunwalai.net/files/story/15008/15008-story.jpg,351,ร้ายนัก!....จับทำเมียแม่ง,#ร้ายนัก....จับทำเมียแม่ง ( 18+ ),"515,608",,ร้ายนักจับทำเมียแม่ง,สีดำ?,นิยาย y,530,,32,https://cdn-th.tunwalai.net/files/story/15008/15008-story.jpg,351,ร้ายนัก!....จับทำเมียแม่ง,#ร้ายนัก....จับทำเมียแม่ง ( 18+ ),"515,608",
5,soleil,นิยาย y,610,,42,https://cdn-th.tunwalai.net/files/story/15435/15435-story.jpg,608,"...หัวใจใฝ่รัก... ( The Royal Promise )  เจ้าน้อย, แสงเมือง, กลับชาติมาเกิด, ระลึกชาติ, มะยม+อิฐ (นิยายวาย, Yaoi , Boy's love , Fic)",[YAOI]...หัวใจใฝ่รัก... ( The Royal Promise ) By...Soleil  #จบแล้ว,"359,459",หัวใจใฝ่รัก,จบแล้ว,soleil,นิยาย y,610,,42,https://cdn-th.tunwalai.net/files/story/15435/15435-story.jpg,608,"...หัวใจใฝ่รัก... ( The Royal Promise )  เจ้าน้อย, แสงเมือง, กลับชาติมาเกิด, ระลึกชาติ, มะยม+อิฐ (นิยายวาย, Yaoi , Boy's love , Fic)",[YAOI]...หัวใจใฝ่รัก... ( The Royal Promise ) By...Soleil  #จบแล้ว,"359,459",หัวใจใฝ่รัก
6,soleil,นิยาย y,610,,42,https://cdn-th.tunwalai.net/files/story/15435/15435-story.jpg,608,"...หัวใจใฝ่รัก... ( The Royal Promise )  เจ้าน้อย, แสงเมือง, กลับชาติมาเกิด, ระลึกชาติ, มะยม+อิฐ (นิยายวาย, Yaoi , Boy's love , Fic)",[YAOI]...หัวใจใฝ่รัก... ( The Royal Promise ) By...Soleil  #จบแล้ว,"359,459",หัวใจใฝ่รัก,จบแล้ว,TORIIIII,นิยาย y,303,จบ,42,https://cdn-th.tunwalai.net/files/story/17667/635995093029536908-story.jpg,629,#Y #YAOI #NC #คนเลว  #พอร์ชมิก  #มิกพอร์ช,คนเลว  [YAOI 18+]  #จบแล้ว,"332,385",คนเลว
7,soleil,นิยาย y,610,,42,https://cdn-th.tunwalai.net/files/story/15435/15435-story.jpg,608,"...หัวใจใฝ่รัก... ( The Royal Promise )  เจ้าน้อย, แสงเมือง, กลับชาติมาเกิด, ระลึกชาติ, มะยม+อิฐ (นิยายวาย, Yaoi , Boy's love , Fic)",[YAOI]...หัวใจใฝ่รัก... ( The Royal Promise ) By...Soleil  #จบแล้ว,"359,459",หัวใจใฝ่รัก,จบแล้ว,เด็กหญิงเย็นชา,นิยาย y,"2,952",,40,https://cdn-th.tunwalai.net/files/story/125117/636246881708883762-story.jpg,"2,017",พี่เจิด มะลิ อีลิ,[จบแล้ว] Smooty Love เรื่อง...รักของพี่เจิด #  [Yaoi] [NC18+] [จบแล้ว],"745,809",จบแล้ว
8,soleil,นิยาย y,610,,42,https://cdn-th.tunwalai.net/files/story/15435/15435-story.jpg,608,"...หัวใจใฝ่รัก... ( The Royal Promise )  เจ้าน้อย, แสงเมือง, กลับชาติมาเกิด, ระลึกชาติ, มะยม+อิฐ (นิยายวาย, Yaoi , Boy's love , Fic)",[YAOI]...หัวใจใฝ่รัก... ( The Royal Promise ) By...Soleil  #จบแล้ว,"359,459",หัวใจใฝ่รัก,จบแล้ว,wandy,นิยาย y,245,จบ,23,https://cdn-th.tunwalai.net/files/story/259369/636986338557108880-story.jpg,269,"เคะท้อง,ดราม่า",#จบแล้ว [MPreg] destroyed แค้นร้ายทำลายรัก,"115,125",
9,soleil,นิยาย y,610,,42,https://cdn-th.tunwalai.net/files/story/15435/15435-story.jpg,608,"...หัวใจใฝ่รัก... ( The Royal Promise )  เจ้าน้อย, แสงเมือง, กลับชาติมาเกิด, ระลึกชาติ, มะยม+อิฐ (นิยายวาย, Yaoi , Boy's love , Fic)",[YAOI]...หัวใจใฝ่รัก... ( The Royal Promise ) By...Soleil  #จบแล้ว,"359,459",หัวใจใฝ่รัก,จบแล้ว,cynthia,นิยาย y,53,,24,https://cdn-th.tunwalai.net/files/story/278078/636916026657072669-story.jpg,131,"Yuri,Cafe,Romantic,Drama,Nc,แชงลิซ,Chaelis,Chaelisa,โรเซ่,ลิซ่า",LIBRAFE (YURI) #chaelis จบแล้ว,"32,218",
