,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
0,TigerPie,นิยาย Boy Love Lovely Room,1,Youtuber คนนี้ต้องการสปอนเซอร์ใจดีอยู่นะครับ :),14,จบ,1.0,https://cdn.readawrite.com/articles/462/461760/thumbnail/,1.0,"18+,Boy Love/Yaoi",Sponsor Me #สปอนเซอร์ของผม,https://www.readawrite.com/a/azaqx5,565,,สปอนเซอร์ของผม
1,MMSi,นิยาย Boy Love Lovely Room,"1,119",จากอดีตลูกคุณหนูก้าวสู่การเป็นชูก้าเบบี้ของแด๊ดดี้ที่ดีที่สุด!,"2,304",จบ,36.0,https://cdn.readawrite.com/articles/440/439313/thumbnail/,443.0,"แด๊ดดี้,Boy Love/Yaoi,18+,สายเปย์",#แด๊ดดี้ดีที่สุด [Call U daddiest],https://www.readawrite.com/a/aza8ls,"189,623",,แด๊ดดี้ดีที่สุด
2,Crystaljade,นิยาย Boy Love Secret Room,705,14 ปีผ่านไปใครจะคิดว่าเขาจะต้องกลับมาเจอกับสหายเก่าอีกครั้ง ทั้งที่ตอนนั้นจัดฉากการตายของตัวเองเอาไว,"1,962",จบ,16.0,https://cdn.readawrite.com/articles/638/637999/thumbnail/,321,"Boy Love/Yaoi,มาเฟีย,18+,เล่ห์รักลวงสังหาร",A Liar to Love #เล่ห์รักลวงสังหาร (Yaoi),https://www.readawrite.com/a/azeusj,"55,616",,เล่ห์รักลวงสังหาร
3,lahlunla,นิยาย Boy Love Lovely Room,1,My Love Song #เพลงเพราะรัก: นิยาย Boy Love Lovely Room,2,จบ,5.0,https://cdn.readawrite.com/articles/664/663385/thumbnail/,1,,My Love Song #เพลงเพราะรัก,https://www.readawrite.com/a/azfgiu,152,,เพลงเพราะรัก
4,ไก่ทอดมาแล้วจ้า,นิยาย Boy Love Secret Room,380,ลิ้นกับฟันมันกระทบกันยังไม่เท่ากูกับมึง เรื่องระหว่างศัตรูคู่แค้นที่ประกาศตัวว่าจะไม่มีวันเป็นเพื่อน,"1,369",จบ,34.0,https://cdn.readawrite.com/articles/677/676095/thumbnail/,123,จบแล้ว,(END) Say Yes If you love me #เซย์เท่ไหมบุ๊ค,https://www.readawrite.com/a/azfqw0,"71,462",,เซย์เท่ไหมบุ๊ค
5,yuu_u,นิยาย Boy Love Lovely Room,102,ลูกแกะคือเหยื่ออันโอชะของหมาป่าอย่างเขา แต่…ตอนนี้เขาอยากลองชิมเนื้อนายพรานดูบ้าง จะหอมหวานเห,76,จบ,11.0,https://cdn.readawrite.com/articles/647/646536/thumbnail/,24,"Boy Love/Yaoi,ต่อตัน",หมาป่าหุ้มหนังแกะ #ลูกแกะเปลือกนอก,https://www.readawrite.com/a/azf2rg,"4,583",หมาป่าหุ้มหนังแกะ,ลูกแกะเปลือกนอก
6,khachcha,นิยาย Boy Love Secret Room,7,ตะวันทาบฟ้า เมฆหนาปกคลุม มนตรารวมกลุ่ม เธอไปไม่ลา เมื่อฟ้าโปร่งใส หัวใจฉันหาย กอดกุมร่างกาย รอเธอหวน,17,จบ,2.0,https://cdn.readawrite.com/articles/752/751188/thumbnail/,4,"นิยายแฟนตาซี,Bmark,เสียงเพลงของเธอ",Think of her voice and song #เสียงเพลงของเธอ,https://www.readawrite.com/a/azhi7i,503,,เสียงเพลงของเธอ
7,Raccool,นิยาย Boy Love Secret Room,392,"""มีเจ้าของแล้วนี่"" ""เจ้าของไม่ค่อยดูแลผมเท่าไหร่"" ""..."" ""เอ็นดูผมหน่อยสิครับ"" #น้ำค้างฟ้าขุ่น",940,จบ,8.0,https://cdn.readawrite.com/articles/730/729712/thumbnail/,190,"Boy Love/Yaoi,ดราม่า,นิยายรัก,18+,น้ำค้างฟ้าขุ่น",Dirty Dew #น้ำค้างฟ้าขุ่น [สนพ.Deep],https://www.readawrite.com/a/azh0nw,"59,807",,น้ำค้างฟ้าขุ่น
8,Jaylerqz,นิยาย Boy Love Lovely Room,"22,809",""" ได้ยินแล้วนะ.. ว่าพ่อโคตรรักแม่เลย ""","30,887",จบ,50.0,https://cdn.readawrite.com/articles/845/844226/thumbnail/,"8,109","เมกาโลมา,สิงห์ใหญ่แคมป์,วิศวะสถาปัตย์,Boy Love/Yaoi,18+",I\'ll give you the world #เมกาโลมา (รีไรท์),https://www.readawrite.com/a/azjo5q,"3,787,353",,เมกาโลมา
9,SATURDAY_s,นิยาย Boy Love Secret Room,4,ผมกวินอายุ 23 ปีเพิ่งเรียนจบมาดๆได้เข้ามาทำงานบริษัทยักษ์ใหญ่ แต่ใครจะรู้ผมคิดว่าเข้ามาทำงานเฉยๆสบาย,47,จบ,1.0,https://cdn.readawrite.com/articles/907/906845/thumbnail/,3.0,"แด๊ดดี้,เกรียน,นิยายวาย",แฟนเด็ก #แทนกวิน,https://www.readawrite.com/a/azl59u,"1,140",แฟนเด็ก,แทนกวิน
