,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
0,ป่วนใจ,นิยาย Boy Love Secret Room,"1,166",ถึงผมจะอยากได้เงิน แต่ก็ไม่ได้อยากเป็นดารา AV นะเว่ย แถมหนังที่ผมต้องเล่น ดันเป็น AV เกย์!,"1,442",จบ,48.0,https://cdn.readawrite.com/articles/444/443846/thumbnail/,354.0,,เขาบังคับผมให้เล่น AV,https://www.readawrite.com/a/azacbb,"270,796",เขาบังคับผมให้เล่น,
1,tomatoesbae,นิยาย Boy Love Lovely Room,1,ผู้มีพระคุณอันดับที่สองรองจากแม่ ผู้ที่ให้ทุกอย่าง... โดยไม่หวังผลตอบแทน?,5,จบ,1.0,https://cdn.readawrite.com/articles/444/443495/thumbnail/,1.0,"Boy Love/Yaoi,18+",คุณธันย์ของธิชา,https://www.readawrite.com/a/azac1a,189,คุณธันย์ของธิชา,
2,varirin,นิยาย Boy Love Lovely Room,6,เทอร์เรนซ์ หยางรักเพื่อนสนิทข้างเดียว ทั้งที่อีกฝ่ายแต่งงานแล้วเขาก็ยังไม่อาจเลิกรักได้ วันนึงหลังอุ,40,จบ,2.0,https://cdn.readawrite.com/articles/448/447451/thumbnail/,3.0,"18+,Boy Love/Yaoi,ดราม่า,นิยายรัก,นิยายแฟนตาซี,ลึกลับ,รักต่างโลก",ANOTHER WORLD - รักต่างโลก,https://www.readawrite.com/a/azaf9b,"1,158",รักต่างโลก,
3,Jecun\'n,นิยาย Boy Love Lovely Room,0,"""อยากมีชีวิตอยู่อย่าคิดเสือกกับน้องกุ""",0,จบ,1.0,https://cdn.readawrite.com/articles/450/449271/thumbnail/,0.0,,บ้านนี้สายโหด,https://www.readawrite.com/a/azagqb,57,บ้านนี้สายโหด,
4,Cayla☆,นิยาย Boy Love Lovely Room,6,"Once upon a time, Love is pain. กาลครั้งหนึ่งนานมาแล้ว ,ความรักเป็นเรื่องเจ็บปวด",4,จบ,1.0,https://cdn.readawrite.com/articles/451/450802/thumbnail/,4.0,"นิยายวาย,#นิยายy,Boy Love/Yaoi,#บันทึกความสุขของเมื่อวาน",บันทึกความสุขของเมื่อวาน,https://www.readawrite.com/a/azai02,515,บันทึกความสุขของเมื่อวาน,
5,Turnin\' BLUE,นิยาย Boy Love Secret Room,55,"Mafia's Toy ของเล่น...มาเฟีย "" ของเล่นไร้ค่าแบบมึง. อีกไม่นานกูก็ต้องโยนทิ้งเมื่อกูเบื่อ อย่าสะเออะม",155,จบ,4.0,https://cdn.readawrite.com/articles/453/452076/thumbnail/,32.0,"18+,Boy Love/Yaoi,SM,ดราม่า,มาเฟีย",Mafia\'s Toy ของเล่นมาเฟีย (sm/ ),https://www.readawrite.com/a/azaj1g,"7,866",ของเล่นมาเฟีย,
6,แมวน้อยผู้น่ารัก,นิยาย Boy Love Lovely Room,7,อือ`~อ่ะที่นี้ที่ไหนไม่ใช่บ้านเรานี้ อะแกเป็นใครเจ้ามนุษย์ อ่าา,45,จบ,1.0,https://cdn.readawrite.com/articles/456/455142/thumbnail/,7.0,"Boy Love/Yaoi,ดราม่า,โรงเรียน,นิยายแฟนตาซี,ปลอมตัว",จับแมวให้กลายเป็นคน,https://www.readawrite.com/a/azalj2,938,จับแมวให้กลายเป็นคน,
7,Banoffypie,นิยาย Boy Love Lovely Room,69,เขาคือเด็กหนุ่มผู้ชอกช้ำใจตายจากความรัก ดวงวิญญาณเขาย้ายกลับมาในร่างของใครที่เขาไม่รู้จักในช่วงเวลาอ,453,จบ,1.0,https://cdn.readawrite.com/articles/456/455418/thumbnail/,51.0,"18+,Boy Love/Yaoi,ตลก,นิยายโรแมนติก",ติณภพ [สนพ.Peachypie],https://www.readawrite.com/a/azalqx,"8,995",ติณภพ,
8,vnomenon,นิยาย Boy Love Lovely Room,22,มีหลายเรื่องที่เราไม่รู้ เช่นเดียวกับสิ่งที่เราไม่อยากให้ใครรู้ โดยเฉพาะกับคน ที่เราแอบชอบ,13,จบ,42.0,https://cdn.readawrite.com/articles/457/456777/thumbnail/,6.0,"Boy love,เรื่องผี,แฟนตาซี",กัน กับ แบงก์ แก๊งป่วนผี,https://www.readawrite.com/a/azamur,"2,076",กันกับแบงก์แก๊งป่วนผี,
9,CIRCE,นิยาย Boy Love Lovely Room,11,เรื่องน่าแปลกชวนฉงนเกิดขึ้นได้เพียงเพราะคุณ 'เก็บของข้างทาง' ความลึกล้ำอันซับซ้อนของ 'เรื่องเล่า' ที,62,จบ,7.0,https://cdn.readawrite.com/articles/456/455850/thumbnail/,10.0,"Yaoi,เรื่องเล่า,ตำนาน,นิทาน,แฟนตาซี,โชตะค่อน",The shepherd boy’s story เรื่องเล่าของเด็กเลี้ยงแกะ,https://www.readawrite.com/a/azam4a,"1,854",เรื่องเล่าของเด็กเลี้ยงแกะ,
10,๛NaaribuS๛,นิยาย Boy Love Lovely Room,123,“ขวัญ” ยังคงฝันร้ายซ้ำแล้วซ้ำอีก ในนิมิตอันหน้าสะพรึงกลัว เขาถูกชำแหละออกเป็นชิ้นๆ กลืนก,569,จบ,25.0,https://cdn.readawrite.com/articles/462/461682/thumbnail/,61.0,,ห้วงฝันอันธการ,https://www.readawrite.com/a/azaquw,"26,523",ห้วงฝันอันธการ,
11,NhkwaTK,นิยาย Boy Love Secret Room,39,ใครบอกว่า คนใส่แว่นมักจะนิสัยเรียบร้อย ผมว่าเขาคงคิดผิดแล้วละ,183,จบ,1.0,https://cdn.readawrite.com/articles/463/462274/thumbnail/,23.0,"18+,Boy Love/Yaoi,Mpreg,มาเฟีย",Spectacles for mafia ไอ้แว่น(มาเฟีย)นี่เมียกู,https://www.readawrite.com/a/azarct,"4,641",ไอ้แว่น,
12,พันธุรัต,นิยาย Boy Love Lovely Room,4,ปากเขาร้ายพยายามไล่ไปให้ไกล แต่อ้อมแขนเขากลับยื่นมือมาปกป้องบุหลันดอกนั้นครั้งแล้วครั้งเล่า,11,จบ,5.0,https://cdn.readawrite.com/articles/464/463037/thumbnail/,4.0,"นิยายวาย,Y,Boy Love/Yaoi,นิยายรัก,ความรัก,รักโรแมนติค,ธาวิน,บุหลัน,บุรินทร์,ประทัดจีน,ตามตื๊อ,เย็นชา",ในอ้อมแขนคุณ,https://www.readawrite.com/a/azarym,473,ในอ้อมแขนคุณ,
13,พ่อบ้านผู้นั้น,นิยาย Boy Love Secret Room,335,พี่เป็นคนทำให้ผมคลุ้มคลั่งเร้าร้อนเป็นไฟ ในขณะที่ชาร์ลทำให้ผมเสพติดลุ่มหลงจนถอนตัวไม่ขึ้น,576,จบ,41.0,https://cdn.readawrite.com/articles/464/463067/thumbnail/,113.0,"18+,Boy Love/Yaoi,Yaoi,incest,Shota,น้อง,drama,โชตะ,Threesome,3p,ยอมรัก,ยามรัก",ยอมรัก - [II]ยามรัก [3p],https://www.readawrite.com/a/azas0h,"62,214",ยอมรัก,
