,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag
0,NaphasZA,ชุมชนคนขี้ชิป,16,NC+ นิยายเรื่องนี้มีNCนะ!! คนของมึงน่ะ ถ้ามึงดูแลไม่ได้เนี่ย.. . เดี๋ยวกูดูแลให้เอง .,33,จบ,2.0,https://cdn.readawrite.com/articles/1943/1942254/thumbnail/,12,"บุ๋นเปรม,กองกำลังบุ๋นเปรม,นิยายวาย",ถ้ามึงดูแลคนของมึงไม่ได้กูก็จะดูแลเอง #คุณสามีที่รัก #บุ๋นเปรม,"15,953",ถ้ามึงดูแลคนของมึงไม่ได้กูก็จะดูแลเอง,คุณสามีที่รัก
1,09.10シ,ป่าเวทมนตร์,76,รักก็พัง กระเป๋าตังก็แบน ชีวิตผมนี่มันเฮงซวยจริงๆ ว่าแต่เอ้ะ นายเป็นใครเนี่ยย,141,จบ,3.0,https://cdn.readawrite.com/articles/1943/1942466/thumbnail/,47,"#Jikook,แฟนผมเป็นแงว",kiss cat #แฟนผมเป็นแงว |;jikook,"106,983",,แฟนผมเป็นแงว
2,อลิซ,ห้องแห่งความรัก,7,รักของชายเจ้าชู้#ลิสกุก,11,จบ,8.0,https://cdn.readawrite.com/articles/1942/1941738/thumbnail/,4,นิยายรักวัยว้าวุ่น  (18+),รักนะยัยมาเฟีย #กุกลิส,"12,492",รักนะยัยมาเฟีย,กุกลิส
3,Y_E_L_L_O_W,แฟนฟิคชั่น,18,เขาแค่เดินกลับบ้านหลังจากเลิกงานเหมือนทุกๆวัน แต่วันนี้มันทำให้การเดินกลับบ้านของเขาเปลี่ยนไปเพราะผี,32,จบ,3.0,https://cdn.readawrite.com/articles/1942/1941794/thumbnail/,14,,#Haikyuu|ทางกลับบ้าน(Tsukiyama),698,,ทางกลับบ้าน
4,minghwaKT,แฟนฟิคชั่น,43,โชคชะตา คำทำนาย หรือหัวใจ?,36,จบ,15.0,https://cdn.readawrite.com/articles/1942/1941917/thumbnail/,12,"jackjae,กับดักรักแจ็คแจ,แจ็คแจ,Got7,กับดักรักดวงดาว,ฟิคแจ็คแจ,ficjackjae",[fic jackjae] Trap love of star กับดักรักดวงดาว | #กับดักรักแจ็คแจ,"1,805",กับดักรักดวงดาว,กับดักรักแจ็คแจ
5,นายบันซ์อยากเกิดเป็นเนื้อ,ชุมชนคนขี้ชิป,33,"""พี่จะรู้มั้ยว่าผมคลั่งรักพี่ขนาดไหน"" ( Trey X Jade)(AU Thai + วัยทำงาน) (มีการOCC และใช้คำหยาบเพื่อ",107,จบ,2.0,https://cdn.readawrite.com/articles/1944/1943200/thumbnail/,29,"Trey x Jade,twst,TWSTFanficTH,TwstTH,twisted wonderland",[TWST/FANFIC]#บางทีใจเราอาจจะตรงกัน?,"67,736",,บางทีใจเราอาจจะตรงกัน
6,lalem!,ลิปสติกสีลิลลี่,0,ขอเลื่อนจากเพื่อนไปเป็นแฟนได้ป่ะ-เมย์,1,จบ,1.0,https://cdn.readawrite.com/articles/1944/1943288/thumbnail/,0,"lalemi,lalem!,friend,เมย์มิน","\""FRIEND\"" #เมย์มิน",6,,เมย์มิน
7,เเมวบ้าดมกาว,แฟ้มคดีสีเลือด,40,รอยยิ้มจอมปลอม...กับตัวตนปลอมๆที่ผมสร้างขึ้น...ผมอยากให้ใครสักคน...รู้ถึงตัวตนจริงๆของผมบ้าง...?,65,จบ,8.0,https://cdn.readawrite.com/articles/1944/1943328/thumbnail/,22,"twst,TWSTFanficTH,ดอกลิลลี่ที่ถูกย้อมสี",Twst:#ดอกลิลลี่ที่ถูกย้อมสี ,"99,764",,ดอกลิลลี่ที่ถูกย้อมสี
8,Night-night,วายสเตชั่น,3,"""น้องเรนทำไมเหมือนเพื่อนเราจังเลยวะ""",27,จบ,2.0,https://cdn.readawrite.com/articles/1944/1943497/thumbnail/,3,"แอคเค่อ,แอคลั่น,น้องเรนแอคลั่น,#เนียลอง,เนียลอง,Neilong",#น้องเรนแอคลั่น,"9,270",,น้องเรนแอคลั่น
9,พารากิมมมมมม,ชุมชนคนขี้ชิป,1,-มึงซื้อคุกกี้มาจากร้านไหนวะ -ร้านพี่เเจมหน้ามอ #คาเฟ่มม,9,จบ,4.0,https://cdn.readawrite.com/articles/1944/1943489/thumbnail/,1,"Markmin,NCT,มาร์คมิน,ค่าเฟ่มม",カフェ🍫#คาเฟ่มม,"2,309",,คาเฟ่มม
10,naniii!!,นิยาย Girl Love/ Yuri,11,เมื่อคืนคุณมิ้นเป็นพี่สาวเเซ่บ เช้านี้คุณมิ้นเป็นพี่สาวเพื่อน,38,จบ,1.0,https://cdn.readawrite.com/articles/1944/1943626/thumbnail/,8,"wheesun,wheein,solar",#คุณมิ้นเป็นพี่สาวเพื่อน,582,,คุณมิ้นเป็นพี่สาวเพื่อน
11,mplusss,นิยาย Boy Love Secret Room,"2,359",'เมื่อ 3P มาแบบ 4K พูดได้คำเดียวว่างานนี้ Full HD สุดๆ',"8,158",จบ,18.0,https://cdn.readawrite.com/articles/1944/1943683/thumbnail/,"1,051","เข้ามาลึกๆ,insert here,Boy Love/Yaoi,18+,20+,นิยายวาย,SM,นิยายโรแมนติก,3p,bdsm","#เข้ามาลึกๆ Side-XL(3P,BDSMบางตอน)","721,051",,เข้ามาลึกๆ
12,ที่สอง,ลิปสติกสีลิลลี่,251,' เราบอกเธอแล้วใช่มั้ย ว่าอย่ารักคนที่เป็นไปไม่ได้ ',478,จบ,12.0,https://cdn.readawrite.com/articles/1944/1943801/thumbnail/,117,"คริสรีน,เจทิ,JETI",#ก็แคร์นี่ไง,"1,754,019",,ก็แคร์นี่ไง
13,ตัวแทนแห่งดวงจันทร์,ชุมชนคนขี้ชิป,14,"หายแล้วหายไปเลย // au:ไทย,มีคำหยาบ,เบาสมอง",62,จบ,3.0,https://cdn.readawrite.com/articles/1944/1943848/thumbnail/,7,"SakuAtsu,Haikyuu",อภิมหาลรองเท้าหาย |#รองเท้าสื่อรักของเราจ๊องคน,"33,481",อภิมหาลรองเท้าหาย,รองเท้าสื่อรักของเราจ๊องคน
14,ภมีร,ชุมชนคนขี้ชิป,41,ปี๊บ ปี๊บ น้องอาร์คค้าบ ให้พี่เบ๊บไปส่งมั้ย,145,จบ,8.0,https://cdn.readawrite.com/articles/1944/1943915/thumbnail/,23,"BokuAka,โบคุอาคา,oilwa,โออิอิวะ,KageHina,คาเงะฮินะ,levyaku,เลฟยาคุ,KuroTsuki,คุโรสึกกี้,Haikyuu,ไฮคิว",#พี่เบ๊บจะไปส่งมั้ย (bokuaka),"182,477",,พี่เบ๊บจะไปส่งมั้ย
15,กลิ่นหอมกำจร,นิยาย Boy Love Secret Room,18,"""หลวงพี่จะสึกเมื่อไหร่ครับ"" จันทร์หอมเป็นเด็กเจนจัด ทว่าช่วงนี้ดวงตกบ่อยมากคุณแม่จึงพามาที่วัด ตั้งแ",78,จบ,1.0,https://cdn.readawrite.com/articles/1944/1943967/thumbnail/,9,"18+,Boy Love/Yaoi,นิยายวาย,บาปหนา",#คุณสงฆ์ขา,807,,คุณสงฆ์ขา
16,charlotte,ชุมชนคนขี้ชิป,151,แอบแซ่บเลิกได้เลิก เลิกไม่ได้ก็ทักมา,131,จบ,14.0,https://cdn.readawrite.com/articles/1943/1942906/thumbnail/,52,"ToG,BamKhun,พัมคูน,tower of god",#แอบแซ่บนะเก๋า,"538,922",,แอบแซ่บนะเก๋า
