,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
0,Melt,นิยาย Boy Love Lovely Room,66,แอบรักเพื่อนมาหลายปี เขาก็มีความสุขดีกับความสัมพันธ์แบบนี้ แต่พอแฟนสาวเพื่อนโผล่มาที ใจดวงนี้ก็เริ่ม,489,จบ,25.0,https://cdn.readawrite.com/articles/757/756570/thumbnail/,53,"Boy Love/Yaoi,โฟกัสเพื่อนซูม,นิยายรักวัยรุ่น",[End] Love plan แผนบังเกิด \'รัก\' #โฟกัสเพื่อนซูม,https://www.readawrite.com/a/1zhmla,"31,536",แผนบังเกิด,โฟกัสเพื่อนซูม
1,NRI_07042538,นิยาย Boy Love Secret Room,"1,109",เมื่อสิบแปดมงกุฎต้องมาอยู่ในร่างของเด็กหนุ่มที่ใช้ร่างกายเข้าแลกเพื่อให้ได้ร่วมรายการเฟ้นหาซุป'ตาร์,"1,890",จบ,78.0,https://cdn.readawrite.com/articles/783/782448/thumbnail/,452,"Boy Love/Yaoi,18+,นิยายรัก,นิยายแฟนตาซี",ซุป\'ตาร์สิบแปดมงกุฎ #ใครกินวอดก้า,https://www.readawrite.com/a/1zi8pn,"128,365",ซุป,ใครกินวอดก้า
2,สักวา...ธาราใส,นิยาย Boy Love Lovely Room,1,"""ชื่ออะไร.."" ""....."" ""ผมถามก็ตอบ....อยากตายหรอ!"" ""ชะ ชื่อซัน"" ""คุณพักที่ไหน..."" ""ถะ ถามทำไม.."" "" เพร",0,จบ,0.0,https://cdn.readawrite.com/articles/1149/1148880/thumbnail/,1,"URMyeverthihgs,เพราะคุณคือรัก",มาเฟียที่เมียไม่รัก #มาเฟียด๊องๆ,https://www.readawrite.com/a/1zqru5,31,มาเฟียที่เมียไม่รัก,มาเฟียด๊องๆ
3,chobnwd,นิยาย Boy Love Lovely Room,4.0,"เกียร์อยู่ที่ใคร ใจอยู่ที่เกียร์... แล้วถ้าเกียร์สลับกับใคร ใจจะสลับกับเกียร์ไหม... ""เห้ย นั่นเกียร์",13,จบ,2.0,https://cdn.readawrite.com/articles/1344/1343122/thumbnail/,3.0,"เทคโน,วิศวกรรมเทคโน,วิศวะ",วิศวกรรมเทคโน #เทคโน,https://www.readawrite.com/a/1zvbew,373,วิศวกรรมเทคโน,เทคโน
4,กระติบข้าวเหนียว,นิยาย Boy Love Lovely Room,0,อีกคนทำเพื่อแก้แค้น อีกคนทำเพื่อดวงใจของเขาเอง,5,จบ,4.0,https://cdn.readawrite.com/articles/201/200710/thumbnail/,0,"18+,Boy Love/Yaoi,มาเฟีย",ผมไม่ได้โง่นะครับ #ยังคิดชื่อเรื่องไม่ได้,https://www.readawrite.com/a/1z4ntk,349,ผมไม่ได้โง่นะครับ,ยังคิดชื่อเรื่องไม่ได้
5,Lertting,นิยาย Boy Love Lovely Room,832,""" ถ้ามีใครต้องตายเพราะการจีบ 'ผมคงเป็นคนแรก' ""","3,216",จบ,62.0,https://cdn.readawrite.com/articles/310/309050/thumbnail/,371.0,"ดอกไม้จดหมายความรัก,โชบีน,โชนแสงบาลี,lerttingstory",จีบ🌸#ดอกไม้จดหมายความรัก [สนพ.Mee-D],https://www.readawrite.com/a/1z77a0,"214,373",จีบ,ดอกไม้จดหมายความรัก
6,เตยหอม,นิยาย Boy Love Secret Room,"3,739",เรื่องของผมกับเขามันเกิดขึ้นเพราะความผิดพลาด เราไม่ได้รักกัน อย่าว่าแต่รักกันเลยครับ ชื่อเขาผมก็ไม่ร,"3,344",จบ,42.0,https://cdn.readawrite.com/articles/361/360300/thumbnail/,871.0,"18+,Boy Love/Yaoi,นิยายรัก,นิยายโรแมนติก,วิศวะ",พลาดรัก #โซ่ล่ามรัก (วางจำหน่ายแล้ว ตีพิมพ์ สนพ. บ้านวายบุ๊ค),https://www.readawrite.com/a/1z8e4a,"392,890",พลาดรัก,โซ่ล่ามรัก
7,อินมายด์,นิยาย Boy Love Secret Room,841,ผมจะทุ่มหมดหน้าตัก... ผมจะเอา'อา'ของเพื่อนมาเป็นแฟนให้ได้,"1,144",จบ,36.0,https://cdn.readawrite.com/articles/423/422295/thumbnail/,270,,(END) (｡￫‿￩｡)ผม..จีบอาเพื่อน(｡￫‿￩｡) #มินขี้อ่อย,https://www.readawrite.com/a/1z9tpk,"119,886",ผมจีบอาเพื่อน,มินขี้อ่อย
8,พราวแสงเดือน,นิยาย Boy Love Lovely Room,11,"""ผัดวุ้นเส้นเนี่ย ทำไมแม่งเค็มจังวะ"" ""แดกๆไปเถอะไอ้เชี่ย มีคนทำให้กินก็บุญเท่าไหร่แล้ว!""",80,จบ,0.0,https://cdn.readawrite.com/articles/909/908468/thumbnail/,10,"Boy Love/Yaoi,18+,นิยายโรแมนติก,ตลก,นิยายวาย",จืดจาง [YAOI] #ถังกังฟู,https://www.readawrite.com/a/2zl6l8,"2,065",จืดจาง,ถังกังฟู
9,ZoharLeo,นิยาย Boy Love Lovely Room,11,"""คุณพ่อบ้านผมจะเอาสตรอว์เบอร์รี่"" ""งดครับนายน้อย"" ""คุณพ่อบ้านแมวผมอยู่ไหน"" ""อยู่ในห้องผมครับนายน้อย""",15,จบ,8.0,https://cdn.readawrite.com/articles/1017/1016575/thumbnail/,6.0,"Boy Love/Yaoi,VIXX,KEO,Ken,Leo,Taekwoon,jaehwan,kenleo,เคโอ,เคนเลโอ",My Butler is... พ่อบ้านของผม...เป็นพ่อมดครับ KEO #นายน้อยครับ,https://www.readawrite.com/a/2znou0,635,พ่อบ้านของผมเป็นพ่อมดครับ,นายน้อยครับ
